operational_floor,training_weight,first_share
0,0.1,0.650943396226
0,0.15,0.94298245614
0,0.2,1
0,0.25,1
0,0.3,1
0,0.35,1
0,0.4,1
0.2,0.1,0.858490566038
0.2,0.15,1
0.2,0.2,1
0.2,0.25,1
0.2,0.3,1
0.2,0.35,1
0.2,0.4,1
0.4,0.1,1
0.4,0.15,1
0.4,0.2,1
0.4,0.25,1
0.4,0.3,1
0.4,0.35,1
0.4,0.4,1
0.6,0.1,1
0.6,0.15,1
0.6,0.2,1
0.6,0.25,1
0.6,0.3,1
0.6,0.35,1
0.6,0.4,1
0.8,0.1,1
0.8,0.15,1
0.8,0.2,1
0.8,0.25,1
0.8,0.3,1
0.8,0.35,1
0.8,0.4,1
