record_type,model,model_label,seed,episodes_seen,environment_interactions,safe_weighted_coverage,curve_source,q25,median,q75
seed,full,PPO+Pointer,42,1552,25189,1,training_batch,,,
seed,full,PPO+Pointer,42,1568,25461,1,training_batch,,,
seed,full,PPO+Pointer,42,1584,25733,1,training_batch,,,
seed,full,PPO+Pointer,42,1600,26005,1,training_batch,,,
seed,full,PPO+Pointer,42,1616,26277,1,training_batch,,,
seed,full,PPO+Pointer,42,1632,26549,1,training_batch,,,
seed,full,PPO+Pointer,42,1648,26813,0.9765625,training_batch,,,
seed,full,PPO+Pointer,42,1664,27085,1,training_batch,,,
seed,full,PPO+Pointer,42,1680,27357,1,training_batch,,,
seed,full,PPO+Pointer,42,1696,27629,1,training_batch,,,
seed,full,PPO+Pointer,42,1712,27901,1,training_batch,,,
seed,full,PPO+Pointer,42,1728,28151,0.923828125,training_batch,,,
seed,full,PPO+Pointer,42,1744,28408,0.943359375,training_batch,,,
seed,full,PPO+Pointer,42,1760,28680,1,training_batch,,,
seed,full,PPO+Pointer,42,1776,28952,1,training_batch,,,
seed,full,PPO+Pointer,42,1792,29224,1,training_batch,,,
seed,full,PPO+Pointer,42,1808,29496,1,training_batch,,,
seed,full,PPO+Pointer,42,1824,29768,1,training_batch,,,
seed,full,PPO+Pointer,42,1840,30040,1,training_batch,,,
seed,full,PPO+Pointer,42,1856,30289,0.93359375,training_batch,,,
seed,full,PPO+Pointer,42,1872,30545,0.94140625,training_batch,,,
seed,full,PPO+Pointer,42,1888,30805,0.94921875,training_batch,,,
seed,full,PPO+Pointer,42,1904,31077,1,training_batch,,,
seed,full,PPO+Pointer,42,1920,31349,1,training_batch,,,
seed,full,PPO+Pointer,42,1936,31621,1,training_batch,,,
seed,full,PPO+Pointer,42,1952,31893,1,training_batch,,,
seed,full,PPO+Pointer,42,1968,32165,1,training_batch,,,
seed,full,PPO+Pointer,42,1984,32437,1,training_batch,,,
seed,full,PPO+Pointer,42,2000,32709,1,training_batch,,,
seed,full,PPO+Pointer,42,2016,32981,1,training_batch,,,
seed,full,PPO+Pointer,42,2032,33238,0.943359375,training_batch,,,
seed,full,PPO+Pointer,42,2048,33510,1,training_batch,,,
seed,full,PPO+Pointer,42,2064,33782,1,training_batch,,,
seed,full,PPO+Pointer,42,2080,34047,0.98046875,training_batch,,,
seed,full,PPO+Pointer,42,2096,34319,1,training_batch,,,
seed,full,PPO+Pointer,42,2112,34569,0.923828125,training_batch,,,
seed,full,PPO+Pointer,42,2128,34841,1,training_batch,,,
seed,full,PPO+Pointer,42,2144,35113,1,training_batch,,,
seed,full,PPO+Pointer,42,2160,35385,1,training_batch,,,
seed,full,PPO+Pointer,42,2176,35618,0.8515625,training_batch,,,
seed,full,PPO+Pointer,42,2192,35876,0.9453125,training_batch,,,
seed,full,PPO+Pointer,42,2208,36148,1,training_batch,,,
seed,full,PPO+Pointer,42,2224,36420,1,training_batch,,,
seed,full,PPO+Pointer,42,2240,36692,1,training_batch,,,
seed,full,PPO+Pointer,42,2256,36944,0.927734375,training_batch,,,
seed,full,PPO+Pointer,42,2272,37216,1,training_batch,,,
seed,full,PPO+Pointer,42,2288,37488,1,training_batch,,,
seed,full,PPO+Pointer,42,2304,37752,0.9765625,training_batch,,,
seed,full,PPO+Pointer,42,2320,38024,1,training_batch,,,
seed,full,PPO+Pointer,42,2336,38296,1,training_batch,,,
seed,full,PPO+Pointer,42,2352,38568,1,training_batch,,,
seed,full,PPO+Pointer,42,2368,38840,1,training_batch,,,
seed,full,PPO+Pointer,42,2384,39104,0.9765625,training_batch,,,
seed,full,PPO+Pointer,42,2400,39354,0.921875,training_batch,,,
seed,full,PPO+Pointer,42,2416,39626,1,training_batch,,,
seed,full,PPO+Pointer,42,2432,39898,1,training_batch,,,
seed,full,PPO+Pointer,42,2448,40170,1,training_batch,,,
seed,full,PPO+Pointer,42,2464,40442,1,training_batch,,,
seed,full,PPO+Pointer,42,2480,40714,1,training_batch,,,
seed,full,PPO+Pointer,42,2496,40986,1,training_batch,,,
seed,full,PPO+Pointer,42,2512,41258,1,training_batch,,,
seed,full,PPO+Pointer,42,2528,41499,0.880859375,training_batch,,,
seed,full,PPO+Pointer,42,2544,41725,0.84375,training_batch,,,
seed,full,PPO+Pointer,42,2560,41980,0.939453125,training_batch,,,
seed,full,PPO+Pointer,42,2576,42244,0.9765625,training_batch,,,
seed,full,PPO+Pointer,42,2592,42516,1,training_batch,,,
seed,full,PPO+Pointer,42,2608,42788,1,training_batch,,,
seed,full,PPO+Pointer,42,2624,43060,1,training_batch,,,
seed,full,PPO+Pointer,42,2640,43332,1,training_batch,,,
seed,full,PPO+Pointer,42,2656,43604,1,training_batch,,,
seed,full,PPO+Pointer,42,2672,43866,0.970703125,training_batch,,,
seed,full,PPO+Pointer,42,2688,44138,1,training_batch,,,
seed,full,PPO+Pointer,42,2704,44399,0.96484375,training_batch,,,
seed,full,PPO+Pointer,42,2720,44671,1,training_batch,,,
seed,full,PPO+Pointer,42,2736,44943,1,training_batch,,,
seed,full,PPO+Pointer,42,2752,45210,0.984375,training_batch,,,
