model,training_seed,environment_interactions,return_rate
full,43,22335,1
full,43,22499,1
full,43,22628,1
full,43,22795,1
full,43,22959,1
full,43,23096,1
full,43,23253,1
full,43,23447,1
full,43,23574,1
full,43,23751,1
full,43,23932,1
full,43,24074,1
full,43,24231,1
full,43,24402,1
full,43,24541,1
full,43,24716,1
full,43,24881,1
full,43,25000,1
full,43,25148,1
full,43,25331,1
full,43,25460,1
full,43,25601,1
full,43,25773,1
full,43,25889,1
full,43,26037,1
full,43,26204,1
full,43,26331,1
full,43,26497,1
full,43,26535,1
full,44,76,1
full,44,162,1
full,44,263,1
full,44,361,1
full,44,461,1
full,44,571,1
full,44,652,1
full,44,762,1
full,44,900,1
full,44,1011,1
full,44,1128,1
full,44,1267,1
full,44,1388,1
full,44,1519,1
full,44,1654,1
full,44,1727,1
full,44,1849,1
full,44,1985,1
full,44,2113,1
full,44,2237,1
full,44,2385,1
full,44,2504,1
full,44,2634,1
full,44,2797,1
full,44,2916,1
full,44,3060,1
full,44,3224,1
full,44,3340,1
full,44,3468,1
full,44,3617,1
full,44,3729,1
full,44,3815,1
full,44,3972,1
full,44,4082,1
full,44,4233,1
full,44,4401,1
full,44,4522,1
full,44,4698,1
full,44,4871,1
full,44,4992,1
full,44,5146,1
full,44,5313,1
full,44,5437,1
full,44,5583,1
full,44,5755,1
full,44,5876,1
full,44,6037,1
full,44,6205,1
full,44,6347,1
full,44,6492,1
full,44,6648,1
full,44,6783,1
full,44,6938,1
full,44,7104,1
full,44,7231,1
full,44,7390,1
full,44,7550,1
full,44,7673,1
full,44,7798,1
full,44,7960,1
full,44,8092,1
full,44,8229,1
full,44,8411,1
full,44,8447,1
full,44,8594,1
full,44,8761,1
full,44,8864,1
full,44,9011,1
full,44,9135,1
full,44,9219,1
full,44,9358,1
full,44,9502,1
full,44,9613,1
full,44,9758,1
full,44,9922,1
full,44,10074,1
full,44,10236,1
full,44,10441,1
full,44,10569,1
full,44,10717,1
full,44,10901,1
full,44,11016,1
full,44,11151,1
full,44,11305,1
full,44,11429,1
full,44,11608,1
full,44,11768,1
full,44,11897,1
full,44,12049,1
full,44,12224,1
full,44,12357,1
full,44,12514,1
full,44,12707,1
full,44,12848,1
full,44,13009,1
full,44,13036,1
full,44,13171,1
full,44,13308,1
full,44,13465,1
full,44,13584,1
full,44,13731,1
full,44,13915,1
full,44,14038,1
full,44,14170,1
full,44,14344,1
full,44,14457,1
full,44,14599,1
full,44,14761,1
full,44,14880,1
full,44,15039,1
full,44,15225,1
full,44,15365,1
full,44,15496,1
full,44,15671,1
full,44,15779,1
full,44,15917,1
full,44,16070,1
full,44,16198,1
full,44,16348,1
full,44,16509,1
full,44,16638,1
full,44,16775,1
full,44,16945,1
full,44,17064,1
full,44,17211,1
full,44,17388,1
full,44,17524,1
full,44,17556,1
full,44,17727,1
full,44,17862,1
full,44,18016,1
full,44,18173,1
full,44,18312,1
full,44,18468,1
full,44,18645,1
full,44,18765,1
full,44,18910,1
full,44,19088,1
full,44,19212,1
full,44,19350,1
full,44,19509,1
full,44,19635,1
full,44,19787,1
full,44,19962,1
full,44,20111,1
full,44,20264,1
full,44,20400,1
full,44,20533,1
full,44,20696,1
full,44,20883,1
full,44,21004,1
full,44,21130,1
full,44,21317,1
full,44,21438,1
full,44,21572,1
full,44,21726,1
full,44,21847,1
full,44,22003,1
full,44,22182,1
full,44,22209,1
full,44,22331,1
full,44,22479,1
full,44,22582,1
full,44,22739,1
full,44,22923,1
full,44,23046,1
full,44,23192,1
full,44,23361,1
full,44,23476,1
full,44,23622,1
full,44,23796,1
full,44,23918,1
full,44,24073,1
full,44,24259,1
full,44,24397,1
full,44,24557,1
full,44,24731,1
full,44,24867,1
full,44,25018,1
full,44,25200,1
full,44,25332,1
full,44,25514,1
full,44,25701,1
full,44,25806,1
full,44,25952,1
full,44,26115,1
full,44,26237,1
full,44,26382,1
full,44,26549,1
full,44,26670,1
full,44,26827,1
full,44,26861,1
