model,training_seed,environment_interactions,mean_weighted_coverage
full,43,6971,0.4515306122
full,43,7083,0.41796875
full,43,7232,0.4609375
full,43,7409,0.4655612245
full,43,7541,0.505859375
full,43,7676,0.4125
full,43,7831,0.4068877551
full,43,7949,0.421875
full,43,8106,0.490625
full,43,8271,0.4451530612
full,43,8300,0.5
full,43,8453,0.49375
full,43,8626,0.4783163265
full,43,8741,0.45703125
full,43,8869,0.4125
full,43,9039,0.4681122449
full,43,9177,0.5546875
full,43,9315,0.45625
full,43,9481,0.4323979592
full,43,9602,0.46484375
full,43,9739,0.4421875
full,43,9905,0.4540816327
full,43,10033,0.517578125
full,43,10178,0.4984375
full,43,10341,0.450255102
full,43,10454,0.427734375
full,43,10595,0.428125
full,43,10730,0.3647959184
full,43,10846,0.46484375
full,43,10999,0.5015625
full,43,11165,0.4655612245
full,43,11279,0.435546875
full,43,11396,0.36875
full,43,11562,0.4515306122
full,43,11670,0.431640625
full,43,11825,0.5046875
full,43,11996,0.4681122449
full,43,12130,0.513671875
full,43,12284,0.49375
full,43,12426,0.3852040816
full,43,12547,0.48828125
full,43,12682,0.4453125
full,43,12722,0.4744897959
full,43,12844,0.5
full,43,12997,0.4953125
full,43,13185,0.5280612245
full,43,13306,0.482421875
full,43,13438,0.4296875
full,43,13599,0.4426020408
full,43,13728,0.5234375
full,43,13860,0.4265625
full,43,14026,0.4477040816
full,43,14148,0.46484375
full,43,14302,0.49375
full,43,14452,0.4158163265
full,43,14581,0.4765625
full,43,14711,0.390625
full,43,14878,0.4528061224
full,43,15011,0.505859375
full,43,15152,0.4203125
full,43,15317,0.4221938776
full,43,15445,0.50390625
full,43,15598,0.4859375
full,43,15755,0.4272959184
full,43,15889,0.505859375
full,43,16046,0.5078125
full,43,16218,0.4553571429
full,43,16344,0.48828125
full,43,16490,0.4765625
full,43,16638,0.4170918367
full,43,16753,0.43359375
full,43,16897,0.44375
full,43,17046,0.3966836735
full,43,17167,0.46875
full,43,17201,0.375
full,43,17359,0.4349489796
full,43,17474,0.44140625
full,43,17618,0.465625
full,43,17789,0.4642857143
full,43,17911,0.478515625
full,43,18067,0.5078125
full,43,18234,0.4553571429
full,43,18344,0.447265625
full,43,18478,0.4
full,43,18653,0.4579081633
full,43,18766,0.427734375
full,43,18914,0.4953125
full,43,19096,0.5280612245
full,43,19225,0.4921875
full,43,19374,0.5125
full,43,19543,0.4706632653
full,43,19671,0.5078125
full,43,19821,0.5078125
full,43,19974,0.431122449
full,43,20123,0.599609375
full,43,20270,0.4828125
full,43,20433,0.4413265306
full,43,20558,0.482421875
full,43,20709,0.49375
full,43,20878,0.4706632653
full,43,20997,0.44921875
full,43,21149,0.4734375
full,43,21316,0.4170918367
full,43,21442,0.490234375
full,43,21567,0.4140625
full,43,21723,0.4362244898
full,43,21760,0.5625
full,43,21892,0.4265625
full,43,22050,0.4272959184
full,43,22178,0.48046875
full,43,22335,0.5
full,43,22499,0.4426020408
full,43,22628,0.501953125
full,43,22795,0.54375
full,43,22959,0.4362244898
full,43,23096,0.498046875
full,43,23253,0.50625
full,43,23447,0.5012755102
full,43,23574,0.490234375
full,43,23751,0.546875
full,43,23932,0.4757653061
full,43,24074,0.505859375
full,43,24231,0.4828125
full,43,24402,0.4375
full,43,24541,0.53515625
full,43,24716,0.534375
full,43,24881,0.443877551
full,43,25000,0.447265625
full,43,25148,0.45
full,43,25331,0.4859693878
full,43,25460,0.494140625
full,43,25601,0.428125
full,43,25773,0.4566326531
full,43,25889,0.46875
full,43,26037,0.45625
full,43,26204,0.4413265306
full,43,26331,0.478515625
full,43,26497,0.5296875
full,43,26535,0.4489795918
full,44,76,0.236328125
full,44,162,0.225
full,44,263,0.2474489796
full,44,361,0.353515625
full,44,461,0.3
full,44,571,0.2755102041
full,44,652,0.314453125
full,44,762,0.3625
full,44,900,0.3826530612
full,44,1011,0.45703125
full,44,1128,0.4078125
full,44,1267,0.3864795918
full,44,1388,0.48046875
full,44,1519,0.44375
full,44,1654,0.3762755102
full,44,1727,0.49375
full,44,1849,0.390625
full,44,1985,0.3775510204
full,44,2113,0.5078125
full,44,2237,0.4203125
full,44,2385,0.4349489796
full,44,2504,0.466796875
full,44,2634,0.4125
full,44,2797,0.4349489796
full,44,2916,0.431640625
full,44,3060,0.4671875
full,44,3224,0.4362244898
full,44,3340,0.4375
full,44,3468,0.3953125
full,44,3617,0.3903061224
full,44,3729,0.416015625
full,44,3815,0.4475
full,44,3972,0.4323979592
full,44,4082,0.408203125
full,44,4233,0.4953125
full,44,4401,0.4362244898
full,44,4522,0.419921875
full,44,4698,0.515625
full,44,4871,0.4617346939
full,44,4992,0.43359375
full,44,5146,0.4875
full,44,5313,0.443877551
full,44,5437,0.458984375
full,44,5583,0.4578125
full,44,5755,0.431122449
full,44,5876,0.44140625
full,44,6037,0.4921875
full,44,6205,0.4234693878
full,44,6347,0.544921875
full,44,6492,0.440625
full,44,6648,0.4196428571
full,44,6783,0.45703125
full,44,6938,0.45625
full,44,7104,0.4183673469
full,44,7231,0.45703125
full,44,7390,0.4875
full,44,7550,0.431122449
full,44,7673,0.466796875
full,44,7798,0.3640625
full,44,7960,0.4145408163
full,44,8092,0.50390625
full,44,8229,0.4421875
full,44,8411,0.4719387755
full,44,8447,0.546875
full,44,8594,0.45625
full,44,8761,0.4426020408
full,44,8864,0.345703125
full,44,9011,0.4625
full,44,9135,0.3201530612
full,44,9219,0.2890625
full,44,9358,0.4109375
full,44,9502,0.381377551
full,44,9613,0.4375
full,44,9758,0.45
full,44,9922,0.4426020408
full,44,10074,0.578125
full,44,10236,0.4984375
full,44,10441,0.5012755102
full,44,10569,0.4765625
full,44,10717,0.4375
full,44,10901,0.4604591837
full,44,11016,0.423828125
full,44,11151,0.40625
full,44,11305,0.3941326531
full,44,11429,0.470703125
