record_type,model,training_seed,episodes_seen,mean_return,batch_episode_count,reward_schema,source_path,source_sha256,median,q25,q75
seed,full,42.0,410,0.3992521008476615,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,426,0.34035946405492723,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,442,0.4198912996798754,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,458,0.42923598643392324,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,474,0.3961855247616768,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,490,0.5093738539144397,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,500,0.4339442938566208,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,516,0.43304731231182814,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,532,0.427349166944623,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,548,0.49008074030280113,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
