model,family,condition,metric,raw_value,higher_better
no_domain_randomization,hidden_model_perception_mismatch,dem_error,stranded_rate,0,1
no_domain_randomization,hidden_model_perception_mismatch,localization,safe_rate,0.925,0.925
no_domain_randomization,hidden_model_perception_mismatch,localization,return_rate,0.925,0.925
no_domain_randomization,hidden_model_perception_mismatch,localization,violation_rate,0.075,0.925
no_domain_randomization,hidden_model_perception_mismatch,localization,dangerous_action_proposal_rate,0,1
no_domain_randomization,hidden_model_perception_mismatch,localization,environment_interception_rate,0,1
no_domain_randomization,hidden_model_perception_mismatch,localization,stranded_rate,0,1
no_domain_randomization,hidden_model_perception_mismatch,power_model,safe_rate,0.708333333333,0.708333333333
no_domain_randomization,hidden_model_perception_mismatch,power_model,return_rate,0.708333333333,0.708333333333
no_domain_randomization,hidden_model_perception_mismatch,power_model,violation_rate,0.291666666667,0.708333333333
no_domain_randomization,hidden_model_perception_mismatch,power_model,dangerous_action_proposal_rate,0,1
no_domain_randomization,hidden_model_perception_mismatch,power_model,environment_interception_rate,0,1
no_domain_randomization,hidden_model_perception_mismatch,power_model,stranded_rate,0,1
no_domain_randomization,hidden_model_perception_mismatch,wind,safe_rate,0.841666666667,0.841666666667
no_domain_randomization,hidden_model_perception_mismatch,wind,return_rate,0.841666666667,0.841666666667
no_domain_randomization,hidden_model_perception_mismatch,wind,violation_rate,0.158333333333,0.841666666667
no_domain_randomization,hidden_model_perception_mismatch,wind,dangerous_action_proposal_rate,0,1
no_domain_randomization,hidden_model_perception_mismatch,wind,environment_interception_rate,0,1
no_domain_randomization,hidden_model_perception_mismatch,wind,stranded_rate,0,1
no_domain_randomization,known_domain_shift,power_model,safe_rate,1,1
no_domain_randomization,known_domain_shift,power_model,return_rate,1,1
no_domain_randomization,known_domain_shift,power_model,violation_rate,0,1
no_domain_randomization,known_domain_shift,power_model,dangerous_action_proposal_rate,0,1
no_domain_randomization,known_domain_shift,power_model,environment_interception_rate,0,1
no_domain_randomization,known_domain_shift,power_model,stranded_rate,0,1
no_domain_randomization,known_domain_shift,wind,safe_rate,1,1
no_domain_randomization,known_domain_shift,wind,return_rate,1,1
no_domain_randomization,known_domain_shift,wind,violation_rate,0,1
no_domain_randomization,known_domain_shift,wind,dangerous_action_proposal_rate,0,1
no_domain_randomization,known_domain_shift,wind,environment_interception_rate,0,1
no_domain_randomization,known_domain_shift,wind,stranded_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,dem_error,safe_rate,1,1
no_return_reserve,hidden_model_perception_mismatch,dem_error,return_rate,1,1
no_return_reserve,hidden_model_perception_mismatch,dem_error,violation_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,dem_error,dangerous_action_proposal_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,dem_error,environment_interception_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,dem_error,stranded_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,localization,safe_rate,1,1
no_return_reserve,hidden_model_perception_mismatch,localization,return_rate,1,1
no_return_reserve,hidden_model_perception_mismatch,localization,violation_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,localization,dangerous_action_proposal_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,localization,environment_interception_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,localization,stranded_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,power_model,safe_rate,1,1
no_return_reserve,hidden_model_perception_mismatch,power_model,return_rate,1,1
no_return_reserve,hidden_model_perception_mismatch,power_model,violation_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,power_model,dangerous_action_proposal_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,power_model,environment_interception_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,power_model,stranded_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,wind,safe_rate,1,1
no_return_reserve,hidden_model_perception_mismatch,wind,return_rate,1,1
no_return_reserve,hidden_model_perception_mismatch,wind,violation_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,wind,dangerous_action_proposal_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,wind,environment_interception_rate,0,1
no_return_reserve,hidden_model_perception_mismatch,wind,stranded_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,dem_error,safe_rate,0.975,0.975
traditional_ppo,hidden_model_perception_mismatch,dem_error,return_rate,0.975,0.975
traditional_ppo,hidden_model_perception_mismatch,dem_error,violation_rate,0.025,0.975
traditional_ppo,hidden_model_perception_mismatch,dem_error,dangerous_action_proposal_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,dem_error,environment_interception_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,dem_error,stranded_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,localization,safe_rate,0.883333333333,0.883333333333
traditional_ppo,hidden_model_perception_mismatch,localization,return_rate,0.883333333333,0.883333333333
traditional_ppo,hidden_model_perception_mismatch,localization,violation_rate,0.116666666667,0.883333333333
traditional_ppo,hidden_model_perception_mismatch,localization,dangerous_action_proposal_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,localization,environment_interception_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,localization,stranded_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,power_model,safe_rate,0.733333333333,0.733333333333
traditional_ppo,hidden_model_perception_mismatch,power_model,return_rate,0.733333333333,0.733333333333
traditional_ppo,hidden_model_perception_mismatch,power_model,violation_rate,0.266666666667,0.733333333333
traditional_ppo,hidden_model_perception_mismatch,power_model,dangerous_action_proposal_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,power_model,environment_interception_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,power_model,stranded_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,wind,safe_rate,0.866666666667,0.866666666667
traditional_ppo,hidden_model_perception_mismatch,wind,return_rate,0.866666666667,0.866666666667
traditional_ppo,hidden_model_perception_mismatch,wind,violation_rate,0.133333333333,0.866666666667
traditional_ppo,hidden_model_perception_mismatch,wind,dangerous_action_proposal_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,wind,environment_interception_rate,0,1
traditional_ppo,hidden_model_perception_mismatch,wind,stranded_rate,0,1
traditional_ppo,known_domain_shift,power_model,safe_rate,1,1
traditional_ppo,known_domain_shift,power_model,return_rate,1,1
traditional_ppo,known_domain_shift,power_model,violation_rate,0,1
traditional_ppo,known_domain_shift,power_model,dangerous_action_proposal_rate,0,1
traditional_ppo,known_domain_shift,power_model,environment_interception_rate,0,1
traditional_ppo,known_domain_shift,power_model,stranded_rate,0,1
traditional_ppo,known_domain_shift,wind,safe_rate,1,1
traditional_ppo,known_domain_shift,wind,return_rate,1,1
traditional_ppo,known_domain_shift,wind,violation_rate,0,1
traditional_ppo,known_domain_shift,wind,dangerous_action_proposal_rate,0,1
traditional_ppo,known_domain_shift,wind,environment_interception_rate,0,1
traditional_ppo,known_domain_shift,wind,stranded_rate,0,1
