episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
2112.0,0.475765306122449,,full,,,seed,42.0
2128.0,0.494140625,,full,,,seed,42.0
2144.0,0.4390625,,full,,,seed,42.0
2160.0,0.4744897959183674,,full,,,seed,42.0
2176.0,0.453125,,full,,,seed,42.0
2192.0,0.471875,,full,,,seed,42.0
2208.0,0.485969387755102,,full,,,seed,42.0
2224.0,0.421875,,full,,,seed,42.0
2240.0,0.546875,,full,,,seed,42.0
2256.0,0.4502551020408163,,full,,,seed,42.0
2272.0,0.474609375,,full,,,seed,42.0
2288.0,0.5046875,,full,,,seed,42.0
2304.0,0.4311224489795918,,full,,,seed,42.0
2320.0,0.48828125,,full,,,seed,42.0
2336.0,0.496875,,full,,,seed,42.0
2352.0,0.4183673469387755,,full,,,seed,42.0
2368.0,0.572265625,,full,,,seed,42.0
2384.0,0.46875,,full,,,seed,42.0
2400.0,0.4438775510204081,,full,,,seed,42.0
2416.0,0.443359375,,full,,,seed,42.0
2432.0,0.4640625,,full,,,seed,42.0
2448.0,0.4285714285714286,,full,,,seed,42.0
2464.0,0.466796875,,full,,,seed,42.0
2480.0,0.4953125,,full,,,seed,42.0
2496.0,0.4438775510204081,,full,,,seed,42.0
2500.0,0.4609375,,full,,,seed,42.0
2516.0,0.4921875,,full,,,seed,42.0
2532.0,0.4604591836734694,,full,,,seed,42.0
2548.0,0.48828125,,full,,,seed,42.0
2564.0,0.428125,,full,,,seed,42.0
2580.0,0.4655612244897958,,full,,,seed,42.0
2596.0,0.47265625,,full,,,seed,42.0
2612.0,0.484375,,full,,,seed,42.0
2628.0,0.471938775510204,,full,,,seed,42.0
2644.0,0.439453125,,full,,,seed,42.0
2660.0,0.403125,,full,,,seed,42.0
2676.0,0.4298469387755102,,full,,,seed,42.0
2692.0,0.470703125,,full,,,seed,42.0
2708.0,0.4828125,,full,,,seed,42.0
2724.0,0.4591836734693877,,full,,,seed,42.0
2740.0,0.5078125,,full,,,seed,42.0
2756.0,0.4765625,,full,,,seed,42.0
2772.0,0.4477040816326531,,full,,,seed,42.0
2788.0,0.515625,,full,,,seed,42.0
2804.0,0.4921875,,full,,,seed,42.0
2820.0,0.4400510204081633,,full,,,seed,42.0
2836.0,0.494140625,,full,,,seed,42.0
2852.0,0.471875,,full,,,seed,42.0
2868.0,0.4872448979591837,,full,,,seed,42.0
2884.0,0.451171875,,full,,,seed,42.0
2900.0,0.509375,,full,,,seed,42.0
2916.0,0.3316326530612245,,full,,,seed,42.0
2932.0,0.51171875,,full,,,seed,42.0
2948.0,0.44375,,full,,,seed,42.0
2964.0,0.4387755102040817,,full,,,seed,42.0
2980.0,0.505859375,,full,,,seed,42.0
2996.0,0.4375,,full,,,seed,42.0
3000.0,0.5459183673469388,,full,,,seed,42.0
16.0,0.224609375,,full,,,seed,43.0
32.0,0.1953125,,full,,,seed,43.0
48.0,0.2040816326530612,,full,,,seed,43.0
64.0,0.287109375,,full,,,seed,43.0
80.0,0.359375,,full,,,seed,43.0
96.0,0.2716836734693877,,full,,,seed,43.0
112.0,0.322265625,,full,,,seed,43.0
128.0,0.3578125,,full,,,seed,43.0
144.0,0.3520408163265306,,full,,,seed,43.0
160.0,0.384765625,,full,,,seed,43.0
176.0,0.3421875,,full,,,seed,43.0
192.0,0.413265306122449,,full,,,seed,43.0
