aggregation,first_place_share,grid_count,maximum_score,maximum_score_0_to_1,maximum_score_0_to_100,mean_rank,mean_score,mean_score_0_to_1,mean_score_0_to_100,minimum_score,minimum_score_0_to_1,minimum_score_0_to_100,model,scope
arithmetic,0.040096230954290296,1247,0.7934032730571402,0.7934032730571402,79.34032730571403,1.9599037690457097,0.710104067770711,0.710104067770711,71.0104067770711,0.6070769492140511,0.6070769492140511,60.70769492140511,a2c_pointer,core_learning_training_aware
arithmetic,0.9599037690457097,1247,0.7993620825334937,0.7993620825334937,79.93620825334938,1.0400962309542903,0.712734605979136,0.712734605979136,71.2734605979136,0.6060408133026822,0.6060408133026822,60.60408133026822,full,core_learning_training_aware
arithmetic,0.0,1247,0.7091776147852622,0.7091776147852622,70.91776147852622,3.0,0.5647234499588671,0.5647234499588671,56.472344995886715,0.43291834434009024,0.43291834434009024,43.291834434009026,traditional_ppo,core_learning_training_aware
geometric,0.32959101844426625,1247,0.7569445531738679,0.7569445531738679,75.69445531738678,1.6704089815557337,0.6706171974332065,0.6706171974332065,67.06171974332065,0.5730105242485208,0.5730105242485208,57.30105242485208,a2c_pointer,core_learning_training_aware
geometric,0.6704089815557338,1247,0.7606871667924021,0.7606871667924021,76.06871667924021,1.3295910184442663,0.6712291743692336,0.6712291743692336,67.12291743692336,0.5708316723005996,0.5708316723005996,57.08316723005996,full,core_learning_training_aware
geometric,0.0,1247,0.6200331035037193,0.6200331035037193,62.00331035037193,3.0,0.4794356001006065,0.4794356001006065,47.94356001006065,0.36553793376564947,0.36553793376564947,36.55379337656495,traditional_ppo,core_learning_training_aware
