bootstrap_replicates,ci_high,ci_level,ci_low,mean,median,metric,probability_positive
10000,60.24917233946206,0.95,57.896715470750934,59.02922603378001,59.013966866649355,full_score,1.0
10000,60.02243287856645,0.95,57.31712505170249,58.63616766472103,58.618818749333954,a2c_pointer_score,1.0
10000,1.098931321710561,0.95,-0.0746230198427023,0.3930583690589743,0.37019156604790737,full_minus_a2c_points,0.9119
10000,0.032785809970753296,0.95,0.002246957189723231,0.014215277313402917,0.013674328913428901,D4_difference,0.9992
10000,0.001733186031117273,0.95,-0.0005974147085782144,0.0005728695123130591,0.0006882666226172285,D6_difference,0.7927
10000,0.013305797207287584,0.95,0.004909816645495724,0.009111341287129765,0.00912551069195916,D7_difference,1.0
