episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
2304.0,0.43112244897959184,,full,,,seed,42
2320.0,0.48828125,,full,,,seed,42
2336.0,0.496875,,full,,,seed,42
2352.0,0.41836734693877553,,full,,,seed,42
2368.0,0.572265625,,full,,,seed,42
2384.0,0.46875,,full,,,seed,42
2400.0,0.44387755102040816,,full,,,seed,42
2416.0,0.443359375,,full,,,seed,42
2432.0,0.46406250000000004,,full,,,seed,42
2448.0,0.4285714285714286,,full,,,seed,42
2464.0,0.466796875,,full,,,seed,42
2480.0,0.4953125,,full,,,seed,42
2496.0,0.44387755102040816,,full,,,seed,42
2500.0,0.4609375,,full,,,seed,42
2516.0,0.4921875,,full,,,seed,42
2532.0,0.4604591836734694,,full,,,seed,42
2548.0,0.48828125,,full,,,seed,42
2564.0,0.428125,,full,,,seed,42
2580.0,0.46556122448979587,,full,,,seed,42
2596.0,0.47265625,,full,,,seed,42
2612.0,0.484375,,full,,,seed,42
2628.0,0.471938775510204,,full,,,seed,42
2644.0,0.439453125,,full,,,seed,42
2660.0,0.403125,,full,,,seed,42
2676.0,0.4298469387755102,,full,,,seed,42
2692.0,0.470703125,,full,,,seed,42
2708.0,0.4828125,,full,,,seed,42
2724.0,0.45918367346938777,,full,,,seed,42
2740.0,0.5078125,,full,,,seed,42
2756.0,0.4765625,,full,,,seed,42
2772.0,0.4477040816326531,,full,,,seed,42
2788.0,0.515625,,full,,,seed,42
2804.0,0.4921875,,full,,,seed,42
2820.0,0.4400510204081633,,full,,,seed,42
2836.0,0.494140625,,full,,,seed,42
2852.0,0.471875,,full,,,seed,42
2868.0,0.4872448979591837,,full,,,seed,42
2884.0,0.451171875,,full,,,seed,42
2900.0,0.509375,,full,,,seed,42
2916.0,0.3316326530612245,,full,,,seed,42
2932.0,0.51171875,,full,,,seed,42
2948.0,0.44375,,full,,,seed,42
2964.0,0.4387755102040817,,full,,,seed,42
2980.0,0.505859375,,full,,,seed,42
2996.0,0.4375,,full,,,seed,42
3000.0,0.5459183673469388,,full,,,seed,42
16.0,0.224609375,,full,,,seed,43
32.0,0.1953125,,full,,,seed,43
48.0,0.20408163265306123,,full,,,seed,43
64.0,0.287109375,,full,,,seed,43
80.0,0.359375,,full,,,seed,43
96.0,0.2716836734693877,,full,,,seed,43
112.0,0.322265625,,full,,,seed,43
128.0,0.35781250000000003,,full,,,seed,43
144.0,0.3520408163265306,,full,,,seed,43
160.0,0.384765625,,full,,,seed,43
176.0,0.3421875,,full,,,seed,43
192.0,0.413265306122449,,full,,,seed,43
208.0,0.4375,,full,,,seed,43
224.0,0.446875,,full,,,seed,43
240.0,0.40433673469387754,,full,,,seed,43
250.0,0.53125,,full,,,seed,43
266.0,0.4078125,,full,,,seed,43
282.0,0.36352040816326525,,full,,,seed,43
298.0,0.3984375,,full,,,seed,43
314.0,0.4546875,,full,,,seed,43
330.0,0.40943877551020413,,full,,,seed,43
346.0,0.486328125,,full,,,seed,43
362.0,0.4703125,,full,,,seed,43
378.0,0.4464285714285714,,full,,,seed,43
394.0,0.462890625,,full,,,seed,43
410.0,0.475,,full,,,seed,43
426.0,0.4413265306122449,,full,,,seed,43
442.0,0.494140625,,full,,,seed,43
458.0,0.40312499999999996,,full,,,seed,43
474.0,0.4260204081632653,,full,,,seed,43
490.0,0.466796875,,full,,,seed,43
500.0,0.4525,,full,,,seed,43
516.0,0.447704081632653,,full,,,seed,43
532.0,0.45703125,,full,,,seed,43
548.0,0.484375,,full,,,seed,43
564.0,0.41964285714285715,,full,,,seed,43
580.0,0.486328125,,full,,,seed,43
596.0,0.47187500000000004,,full,,,seed,43
612.0,0.3979591836734694,,full,,,seed,43
628.0,0.50390625,,full,,,seed,43
644.0,0.46562499999999996,,full,,,seed,43
660.0,0.45408163265306123,,full,,,seed,43
676.0,0.451171875,,full,,,seed,43
692.0,0.471875,,full,,,seed,43
708.0,0.47831632653061223,,full,,,seed,43
724.0,0.51953125,,full,,,seed,43
740.0,0.53125,,full,,,seed,43
756.0,0.3737244897959183,,full,,,seed,43
772.0,0.5078125,,full,,,seed,43
788.0,0.4921875,,full,,,seed,43
804.0,0.40178571428571425,,full,,,seed,43
820.0,0.443359375,,full,,,seed,43
836.0,0.4234375,,full,,,seed,43
852.0,0.451530612244898,,full,,,seed,43
868.0,0.41796875,,full,,,seed,43
884.0,0.4609375,,full,,,seed,43
900.0,0.4655612244897959,,full,,,seed,43
916.0,0.505859375,,full,,,seed,43
932.0,0.4125,,full,,,seed,43
948.0,0.4068877551020408,,full,,,seed,43
964.0,0.421875,,full,,,seed,43
980.0,0.490625,,full,,,seed,43
996.0,0.44515306122448983,,full,,,seed,43
1000.0,0.5,,full,,,seed,43
1016.0,0.49375,,full,,,seed,43
1032.0,0.47831632653061223,,full,,,seed,43
1048.0,0.45703125,,full,,,seed,43
1064.0,0.4125,,full,,,seed,43
1080.0,0.46811224489795916,,full,,,seed,43
1096.0,0.5546875,,full,,,seed,43
1112.0,0.45625000000000004,,full,,,seed,43
1128.0,0.43239795918367346,,full,,,seed,43
1144.0,0.46484375,,full,,,seed,43
1160.0,0.4421875,,full,,,seed,43
1176.0,0.45408163265306123,,full,,,seed,43
1192.0,0.517578125,,full,,,seed,43
1208.0,0.4984375,,full,,,seed,43
1224.0,0.4502551020408163,,full,,,seed,43
1240.0,0.427734375,,full,,,seed,43
1256.0,0.428125,,full,,,seed,43
1272.0,0.3647959183673469,,full,,,seed,43
1288.0,0.46484375,,full,,,seed,43
1304.0,0.5015625,,full,,,seed,43
1320.0,0.4655612244897959,,full,,,seed,43
1336.0,0.435546875,,full,,,seed,43
1352.0,0.36875,,full,,,seed,43
1368.0,0.451530612244898,,full,,,seed,43
1384.0,0.431640625,,full,,,seed,43
1400.0,0.5046875000000001,,full,,,seed,43
1416.0,0.46811224489795916,,full,,,seed,43
1432.0,0.513671875,,full,,,seed,43
1448.0,0.49375,,full,,,seed,43
1464.0,0.3852040816326531,,full,,,seed,43
1480.0,0.48828125,,full,,,seed,43
1496.0,0.4453125,,full,,,seed,43
1500.0,0.4744897959183673,,full,,,seed,43
1516.0,0.5,,full,,,seed,43
1532.0,0.4953125,,full,,,seed,43
1548.0,0.5280612244897959,,full,,,seed,43
1564.0,0.482421875,,full,,,seed,43
1580.0,0.4296875,,full,,,seed,43
1596.0,0.44260204081632654,,full,,,seed,43
1612.0,0.5234375,,full,,,seed,43
1628.0,0.42656249999999996,,full,,,seed,43
1644.0,0.4477040816326531,,full,,,seed,43
1660.0,0.46484375,,full,,,seed,43
1676.0,0.49375,,full,,,seed,43
1692.0,0.41581632653061223,,full,,,seed,43
1708.0,0.4765625,,full,,,seed,43
1724.0,0.390625,,full,,,seed,43
1740.0,0.45280612244897955,,full,,,seed,43
1756.0,0.505859375,,full,,,seed,43
1772.0,0.4203125,,full,,,seed,43
1788.0,0.42219387755102045,,full,,,seed,43
1804.0,0.50390625,,full,,,seed,43
1820.0,0.4859375,,full,,,seed,43
1836.0,0.4272959183673469,,full,,,seed,43
1852.0,0.505859375,,full,,,seed,43
1868.0,0.5078125,,full,,,seed,43
1884.0,0.45535714285714285,,full,,,seed,43
1900.0,0.48828125,,full,,,seed,43
1916.0,0.4765625,,full,,,seed,43
1932.0,0.41709183673469385,,full,,,seed,43
1948.0,0.43359375,,full,,,seed,43
1964.0,0.44375,,full,,,seed,43
1980.0,0.39668367346938777,,full,,,seed,43
1996.0,0.46875,,full,,,seed,43
2000.0,0.375,,full,,,seed,43
2016.0,0.4349489795918367,,full,,,seed,43
2032.0,0.44140625,,full,,,seed,43
2048.0,0.465625,,full,,,seed,43
2064.0,0.4642857142857143,,full,,,seed,43
2080.0,0.478515625,,full,,,seed,43
2096.0,0.5078125,,full,,,seed,43
2112.0,0.4553571428571429,,full,,,seed,43
2128.0,0.447265625,,full,,,seed,43
2144.0,0.39999999999999997,,full,,,seed,43
2160.0,0.45790816326530615,,full,,,seed,43
2176.0,0.427734375,,full,,,seed,43
2192.0,0.4953125,,full,,,seed,43
2208.0,0.528061224489796,,full,,,seed,43
2224.0,0.4921875,,full,,,seed,43
2240.0,0.5125,,full,,,seed,43
