aggregation,grid_id,is_first,model,operational_floor,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,8,0.0,traditional_ppo,0.0,3,61.63333497523753,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,9,0.0,full,0.0,2,66.71506640418012,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,1.0,full,0.0,1,70.74298699213874,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,1.0,a2c_pointer,0.0,1,66.73279228756664,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,a2c_pointer,0.0,2,70.67332990337341,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,traditional_ppo,0.0,3,57.30562886465614,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,traditional_ppo,0.0,3,65.2669748403181,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,10,1.0,full,0.0,1,64.5211852627146,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,1.0,full,0.0,1,68.5058013163949,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,a2c_pointer,0.0,2,64.46602449587718,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,a2c_pointer,0.0,2,68.448542372435,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,traditional_ppo,0.0,3,51.477654976987296,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,traditional_ppo,0.0,3,59.950734154648025,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,11,0.0,full,0.0,2,62.36563230282917,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,1.0,full,0.0,1,66.045341970733,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,1.0,a2c_pointer,0.0,1,62.365826109762054,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,a2c_pointer,0.0,2,66.03353535915618,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,traditional_ppo,0.0,3,50.334251715921454,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,traditional_ppo,0.0,3,58.151486958797136,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,12,0.0,full,0.0,2,64.64142288995286,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,full,0.0,2,68.5982242976097,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,1.0,a2c_pointer,0.0,1,64.7005291091568,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,1.0,a2c_pointer,0.0,1,68.62860390637957,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,traditional_ppo,0.0,3,53.748136211336906,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,traditional_ppo,0.0,3,61.78512682387773,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,13,1.0,full,0.0,1,66.4852340304801,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,1.0,full,0.0,1,70.58332894232674,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,a2c_pointer,0.0,2,66.32113011533764,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,a2c_pointer,0.0,2,70.41166039941339,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,traditional_ppo,0.0,3,52.51752442279152,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,traditional_ppo,0.0,3,61.51100730362653,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,14,1.0,full,0.0,1,64.26406524042233,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,1.0,full,0.0,1,68.12286959666487,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,a2c_pointer,0.0,2,64.16049540080718,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,a2c_pointer,0.0,2,67.99665338613458,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,traditional_ppo,0.0,3,51.35102395351082,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,traditional_ppo,0.0,3,59.71176010777566,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,15,1.0,full,0.0,1,66.60913173560836,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,1.0,full,0.0,1,70.67575192354155,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,a2c_pointer,0.0,2,66.56238294722213,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,a2c_pointer,0.0,2,70.59172193335796,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,traditional_ppo,0.0,3,54.833870296156384,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,traditional_ppo,0.0,3,63.34539997285624,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,16,1.0,full,0.0,1,62.11710226261552,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,1.0,full,0.0,1,65.662410251003,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,a2c_pointer,0.0,2,62.070250656434276,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,a2c_pointer,0.0,2,65.58164637285577,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,traditional_ppo,0.0,3,50.210433375448105,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,traditional_ppo,0.0,3,57.912512911924786,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,17,0.0,full,0.0,2,64.38382371494092,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,1.0,full,0.0,1,68.21529257787968,0.2,0.1,0.15,0.1,0.15,0.15,0.15
