D1,D2,D3,D4,D5,D6,D7,aggregation,model,operational_floor,score_0_to_100
0.581806777537999,0.3611711046699882,0.9262593222751299,0.921221739751607,0.5057162145652365,0.9978080836976099,0.48723161832227396,geometric,full,0.0,66.46710772697367
0.581806777537999,0.3611711046699882,0.9262593222751299,0.921221739751607,0.5057162145652365,0.9978080836976099,0.48723161832227396,arithmetic,full,0.0,70.55814102970913
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.9067420198149118,0.5141184144192313,0.9971198170749926,0.4781061076303148,geometric,a2c_pointer,0.0,66.24992798977647
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.9067420198149118,0.5141184144192313,0.9971198170749926,0.4781061076303148,arithmetic,a2c_pointer,0.0,70.31320683548427
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9465733807605361,0.6345187509648341,0.9943681901350083,0.2676402171188932,geometric,traditional_ppo,0.0,52.56636836159772
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9465733807605361,0.6345187509648341,0.9943681901350083,0.2676402171188932,arithmetic,traditional_ppo,0.0,61.59818950185869
0.581806777537999,0.3611711046699882,0.9262593222751299,0.9015271746895087,0.5057162145652365,0.9972601046220122,0.3590395229028424,geometric,full,0.2,62.320742955367294
0.581806777537999,0.3611711046699882,0.9262593222751299,0.9015271746895087,0.5057162145652365,0.9972601046220122,0.3590395229028424,arithmetic,full,0.2,67.68792106387707
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.8834275247686396,0.5141184144192313,0.9963997713437408,0.34763263453789345,geometric,a2c_pointer,0.2,61.90774600741031
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.8834275247686396,0.5141184144192313,0.9963997713437408,0.34763263453789345,arithmetic,a2c_pointer,0.2,67.33961903331671
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9332167259506702,0.6345187509648341,0.9929602376687604,0.08455027139861647,geometric,traditional_ppo,0.2,41.64586256702615
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9332167259506702,0.6345187509648341,0.9929602376687604,0.08455027139861647,arithmetic,traditional_ppo,0.2,57.707881715980214
0.581806777537999,0.3611711046699882,0.9262593222751299,0.8687028995860118,0.5057162145652365,0.9963468061626831,0.14538603053712323,geometric,full,0.4,51.714578723412444
0.581806777537999,0.3611711046699882,0.9262593222751299,0.8687028995860118,0.5057162145652365,0.9963468061626831,0.14538603053712323,arithmetic,full,0.4,62.90422112082366
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.8445700330248529,0.5141184144192313,0.9951996951249877,0.13017684605052465,geometric,a2c_pointer,0.4,50.51177935055049
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.8445700330248529,0.5141184144192313,0.9951996951249877,0.13017684605052465,arithmetic,a2c_pointer,0.4,62.38363936303748
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9109556346008935,0.6345187509648341,0.9906136502250139,0.0,geometric,traditional_ppo,0.4,0.0
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9109556346008935,0.6345187509648341,0.9906136502250139,0.0,arithmetic,traditional_ppo,0.4,55.63602816888631
0.581806777537999,0.3611711046699882,0.9262593222751299,0.8030543493790177,0.5057162145652365,0.9945202092440247,0.0,geometric,full,0.6,0.0
0.581806777537999,0.3611711046699882,0.9262593222751299,0.8030543493790177,0.5057162145652365,0.9945202092440247,0.0,arithmetic,full,0.6,58.975240318603106
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.7668550495372795,0.5141184144192313,0.9927995426874816,0.0,geometric,a2c_pointer,0.6,0.0
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.7668550495372795,0.5141184144192313,0.9927995426874816,0.0,arithmetic,a2c_pointer,0.6,58.56637464096326
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.8664334519013402,0.6345187509648341,0.9859204753375208,0.0,geometric,traditional_ppo,0.6,0.0
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.8664334519013402,0.6345187509648341,0.9859204753375208,0.0,arithmetic,traditional_ppo,0.6,54.87433193064315
0.581806777537999,0.3611711046699882,0.9262593222751299,0.6061086987580351,0.5057162145652365,0.9890404184880494,0.0,geometric,full,0.8,0.0
0.581806777537999,0.3611711046699882,0.9262593222751299,0.6061086987580351,0.5057162145652365,0.9890404184880494,0.0,arithmetic,full,0.8,55.91145974416886
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.5337100990745587,0.5141184144192313,0.9855990853749632,0.0,geometric,a2c_pointer,0.8,0.0
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.5337100990745587,0.5141184144192313,0.9855990853749632,0.0,arithmetic,a2c_pointer,0.8,54.925191237772076
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.7328669038026804,0.6345187509648341,0.9718409506750416,0.0,geometric,traditional_ppo,0.8,0.0
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.7328669038026804,0.6345187509648341,0.9718409506750416,0.0,arithmetic,traditional_ppo,0.8,52.58924321591366
