D1_mission_effectiveness,D2_resource_efficiency,D3_safety_reliability,D5_online_deployability,constraint_free_rate,distance_efficiency,domain,energy_efficiency,high_priority_coverage,map_id,mean_safe_distance_m,mean_safe_energy_wh,mean_safe_time_s,model,online_planning_efficiency,oracle_attainment,planning_scaling_ratio_24_to_16,planning_time_median_16_s,planning_time_median_24_s,planning_time_p95_s,return_rate,safe_rate,scaling_efficiency,soc_utility,task_count,time_efficiency,weighted_coverage
0.5883452881137368,0.36778196667879975,0.9229023072139944,0.5008990086443253,1.0,0.19318412745481162,real,0.3096133178300916,0.5286111111111113,cn_guizhou_karst,6336.61018409251,34.25404538524066,738.3900214804063,a2c_pointer,0.5423582540198757,0.8404162998472369,2.4742629063149324,0.7651961500000013,1.8932964500000002,1.9962963600000003,1.0,1.0,0.404160769434708,0.44828820999652336,18,0.5278031839364119,0.49217687074829936
0.5953566759395813,0.36055102401135447,0.9252711630615457,0.4925125912905175,1.0,0.11565681567722816,real,0.34217782032595717,0.5553703703703703,cn_hengduan,6305.522773240811,35.848915434178984,761.6700643674939,a2c_pointer,0.5254901064515967,0.8433692585580231,2.4063620984661043,0.7132819500000025,1.7164146500000008,2.119975129999998,1.0,1.0,0.41556505591466614,0.45992844693552215,18,0.5296864574449061,0.491343537414966
0.632649855972703,0.3513160966981134,0.916867380668422,0.5561513469554293,1.0,0.2430841667102969,real,0.3077863936325062,0.62,cn_qinling,3869.232475130298,23.329255664221108,501.3520289110807,a2c_pointer,0.5961996268056065,0.8665858184486347,2.1612025385234293,0.6363305499999967,1.3752392000000029,1.6333874099999988,1.0,1.0,0.4627053606383496,0.41982202719301887,18,0.45704954312290497,0.5220068027210885
0.5935880321773459,0.35921454678707215,0.919500920999538,0.5346900922256966,1.0,0.23199715143633615,real,0.30441985244471015,0.5441666666666667,cn_taihang,4533.477927967138,25.376494758254296,550.5584694643512,a2c_pointer,0.5561891244177719,0.8356134665778642,2.0638740803246427,0.7753958999999995,1.6003194999999977,1.8985540250000048,1.0,1.0,0.4845256837775211,0.43203774015909124,18,0.48667077643084894,0.4972859977324263
0.6165621478383427,0.36065894051491476,0.9215262735600465,0.5352621987942497,1.0,0.17658122219049732,real,0.3192730765666641,0.5900925925925925,global_alps,5747.687873122037,32.427735052394276,693.0227180321422,a2c_pointer,0.5548557113503063,0.8641010100986473,2.042717292457612,0.7718911500000019,1.5767553999999961,1.9078366499999924,1.0,1.0,0.4895440028301179,0.44164896667850206,18,0.5119201454223951,0.5060274943310658
0.6086107688920964,0.4062169005799046,0.9245027817943695,0.4412114555909687,1.0,0.29660631408115484,real,0.36570390253289004,0.5122222222222221,global_colorado_rockies,4036.7386863226307,25.56478280999315,544.8060183585853,a2c_pointer,0.45543711909054885,0.8698852524391342,2.450870819257326,0.7041242999999966,1.7257176999999828,2.6906579849999996,1.0,1.0,0.40801824075861515,0.4561232632380545,18,0.5101723904327611,0.5261678004535147
0.5648420788641522,0.38062968499351885,0.9250870024390112,0.477608381708169,1.0,0.3578986563392037,real,0.33217342679030026,0.43296296296296294,global_peruvian_andes,4836.893820028292,29.42318536641295,624.1457750327572,a2c_pointer,0.4859730793887982,0.8310368717680223,2.1829735521481983,0.8720462499999968,1.903653900000009,2.430077044999998,1.0,1.0,0.45809075378670083,0.4590138514070918,18,0.437235803830282,0.4976842403628118
0.6002430034349002,0.3514244673824215,0.9247968928677937,0.534583120693277,1.0,0.18146676879215395,real,0.33237214228112605,0.5731481481481482,global_southern_alps_nz,5302.87325187397,29.757950378789133,639.9420417865763,a2c_pointer,0.5402037134603489,0.8539009630971215,1.9176617257638182,0.7948648499999962,1.5242818999999912,2.011816369999988,1.0,1.0,0.5214684042367759,0.45757640233068486,18,0.4743188134649723,0.48696145124716556
0.6402385975469271,0.36050425548796927,0.9214056776769534,0.16732206575637856,1.0,0.19893907660192506,real,0.29753776215234073,0.515462962962963,cn_guizhou_karst,6228.44423581694,35.08542865497842,752.6991309206969,aco,0.0,0.9473054861816621,1.7929494155110475,33.671239650000004,60.37082944999992,75.89975684000004,1.0,1.0,0.5577402191879286,0.4410713413356052,18,0.5165781739604218,0.5490929705215418
0.6828657960927453,0.3348013316961515,0.9222460837587453,0.16883580452197516,1.0,0.095496017031514,real,0.31111995176735735,0.6477777777777778,cn_hengduan,6413.660182220637,37.5559006740894,795.8718827724765,aco,0.0,0.9622908487700743,1.7768742883027093,36.0742381,64.09938614999999,85.17910270499996,1.0,1.0,0.5627860150732505,0.4451108667279665,18,0.5050883607992449,0.5606972789115646
