best_episode,environment_interactions,formal_nominal_safe_rate,formal_nominal_safe_weighted_coverage,formal_real_safe_rate,formal_real_safe_weighted_coverage,formal_synthetic_safe_rate,formal_synthetic_safe_weighted_coverage,model,tail_mean_approx_kl,tail_mean_entropy,tail_mean_gradient_norm_pre_clip,tail_mean_ratio_deviation,tail_mean_weighted_coverage,tail_update_count,training_seed
1600.0,49385,1.0,0.4953222434807256,1.0,0.504671556122449,1.0,0.4859729308390023,full,0.03086675686063245,0.2965031748239805,4.19551176321046,1.8714397177100182,0.98260498046875,32,42
2080.0,49870,1.0,0.4929488201530612,1.0,0.49711681547619047,1.0,0.48878082482993196,full,0.02313971576586482,0.250852795089789,3.1847516031327867,1.599409019574523,0.99249267578125,32,43
800.0,49686,1.0,0.4941487445672713,1.0,0.5048177083333333,1.0,0.4834797808012094,full,0.0294658507918939,0.3135397713713852,3.1575766397135645,1.9578166250139475,0.9913330078125,32,44
1280.0,49253,1.0,0.4928482851473923,1.0,0.5010363520408164,1.0,0.48466021825396827,full,0.02493493950169068,0.27569198135105477,4.42970594025036,1.6359628904610872,0.98504638671875,32,45
2720.0,49865,1.0,0.49533700633030986,1.0,0.5045776643990929,1.0,0.4860963482615268,full,0.033798929638578556,0.2860818182014757,3.701616124436259,1.8681740332394838,0.98968505859375,32,46
2080.0,48684,1.0,0.4943437618102796,1.0,0.5045829790249433,1.0,0.48410454459561597,a2c_pointer,0.049375575086742174,0.44956667741159134,4.834204129564265,2.5326540917158127,0.974853515625,32,42
2560.0,49033,1.0,0.4947422111205594,1.0,0.5038681618480726,1.0,0.4856162603930461,a2c_pointer,0.03811749614214932,0.49509175928930443,4.0139600886031985,2.108944933861494,0.9952392578125,32,43
2240.0,48728,1.0,0.49704905399659866,1.0,0.5047362174036282,1.0,0.48936189058956914,a2c_pointer,0.05992058892297791,0.6944878727081232,4.190360040869564,2.1290382519364357,0.987060546875,32,44
1440.0,48656,1.0,0.4919101060563114,1.0,0.5002666170634921,1.0,0.48355359504913076,a2c_pointer,0.025293609481195745,0.4551402030823131,3.8137674955651164,1.5017321594059467,0.99249267578125,32,45
1280.0,48917,1.0,0.4906283954554044,1.0,0.49882989654195004,1.0,0.48242689436885866,a2c_pointer,0.07620120731007773,0.7597008974601824,5.471051666575174,2.3535587079823017,0.9393310546875,32,46
