D1,D4,is_pareto_nondominated,mean_safe_distance_m,mean_safe_energy_wh,mean_safe_time_s,model,objectives,planning_time_p95_s,scope
0.581806777537999,0.921221739751607,True,5607.993125675239,33.87246678510779,713.1046641073294,full,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s|D4,2.0971131654166664,core_learning_complete
0.3028015940746522,0.9465733807605361,True,6085.011422033855,32.17676757263948,686.9365050018943,traditional_ppo,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s|D4,1.1740246521874655,core_learning_complete
0.5878265529474613,0.9067420198149118,True,5624.742413672664,33.768556432613835,711.3772839513491,a2c_pointer,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s|D4,2.0225506342708335,core_learning_complete
0.5941150551879825,,True,5091.3719431859245,29.508374574857285,631.5515080980651,full,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,2.1284213074999996,real_all
0.30254625061817303,,True,5537.631006800201,27.73500791881336,603.2810277829645,traditional_ppo,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,1.23372127937496,real_all
0.6000247314041074,,True,5121.1296239722105,29.49779560618557,631.7358921791741,a2c_pointer,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,2.0860751218749978,real_all
0.548419389478074,,True,5024.957579793685,30.130677546336546,641.7212161037874,nearest_feasible,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,4.825023343124997,real_all
0.5313775422303018,,True,4948.982811608001,28.55536566398962,611.620806265138,priority_resource_greedy,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,4.689824227500002,real_all
0.6660523016529558,,True,5062.592888357261,30.363370534428945,647.5016188231882,aco,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,82.57594511374995,real_all
0.6850771091108496,,True,5055.485597473293,31.186022558915532,662.6148427686228,milp,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,39.948761789375,real_all
0.5694984998880156,,True,6124.614308164554,38.23655899535829,794.6578201165938,full,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,2.065805023333333,synthetic_all
0.30305693753113133,,True,6632.391837267508,36.61852722646559,770.591982220824,traditional_ppo,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,1.1143280249999712,synthetic_all
0.5756283744908154,,True,6128.3552033731185,38.03931725904209,791.0186757235241,a2c_pointer,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,1.959026146666669,synthetic_all
0.5146008383752998,,True,6070.593440377107,38.81406516832479,802.5022049287259,nearest_feasible,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,4.882651929166662,synthetic_all
0.5094115419790286,,True,5721.345132311555,35.32762281364065,736.5748547606382,priority_resource_greedy,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,4.778816204166664,synthetic_all
0.6594473428005916,,True,6140.358503358931,39.05674473833587,811.276837699385,aco,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,134.28726945250006,synthetic_all
0.581065256277799,,True,5756.113017449851,35.52823715333939,740.3688918426118,ga,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,6.966783945833345,synthetic_all
0.6452401643566777,,True,5944.158045992085,37.79299200623419,785.1092706663325,sa,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,5.035768519999996,synthetic_all
0.6769919967230122,,True,6145.792572706756,39.62069060879404,822.0024346031596,milp,D1|mean_safe_time_s|mean_safe_energy_wh|mean_safe_distance_m|planning_time_p95_s,46.21846540833334,synthetic_all
