D1,D2,D3,D4,D5,map_count,mean_safe_distance_m,mean_safe_energy_wh,mean_safe_time_s,model,planning_time_p95_s,scope
0.5694984998880156,0.35421099148601004,0.9299795428366487,nan,0.5094652562927772,24,6124.614308164554,38.23655899535829,794.6578201165938,full,2.065805023333333,synthetic_all
0.30305693753113133,0.35311816392523626,0.9326053875019357,nan,0.6415909002362534,24,6632.391837267508,36.61852722646559,770.591982220824,traditional_ppo,1.1143280249999712,synthetic_all
0.5756283744908154,0.3559973139645689,0.9303086248758876,nan,0.5191220543506336,24,6128.3552033731185,38.03931725904209,791.0186757235241,a2c_pointer,1.959026146666669,synthetic_all
0.5146008383752998,0.3497445974502616,0.9290146560097771,nan,0.3052196668737895,24,6070.593440377107,38.81406516832479,802.5022049287259,nearest_feasible,4.882651929166662,synthetic_all
0.5094115419790286,0.41389089943631197,0.9347728878308557,nan,0.3108964711387609,24,5721.345132311555,35.32762281364065,736.5748547606382,priority_resource_greedy,4.778816204166664,synthetic_all
0.6594473428005916,0.3454163616758483,0.9285873980269117,nan,0.15991180048344775,24,6140.358503358931,39.05674473833587,811.276837699385,aco,134.28726945250006,synthetic_all
0.581065256277799,0.40438196755925016,0.9344827239206498,nan,0.31386590916613727,24,5756.113017449851,35.52823715333939,740.3688918426118,ga,6.966783945833345,synthetic_all
0.6452401643566777,0.37021692932936556,0.930751427382313,nan,0.3806566319099507,24,5944.158045992085,37.79299200623419,785.1092706663325,sa,5.035768519999996,synthetic_all
0.6769919967230122,0.3386959051839377,0.927623523698825,nan,0.09712784562740022,24,6145.792572706756,39.62069060879404,822.0024346031596,milp,46.21846540833334,synthetic_all
0.5941150551879825,0.36813121785396635,0.9225391017136111,nan,0.5019671728376958,8,5091.3719431859245,29.508374574857285,631.5515080980651,full,2.1284213074999996,real_all
0.30254625061817303,0.37476695565763823,0.9256684947262714,nan,0.6274466016934148,8,5537.631006800201,27.73500791881336,603.2810277829645,traditional_ppo,1.23372127937496,real_all
0.6000247314041074,0.36722420345576245,0.92255684032559,nan,0.509114774487829,8,5121.1296239722105,29.49779560618557,631.7358921791741,a2c_pointer,2.0860751218749978,real_all
0.548419389478074,0.36427078517214195,0.9214219693398737,nan,0.3093448481569727,8,5024.957579793685,30.130677546336546,641.7212161037874,nearest_feasible,4.825023343124997,real_all
0.5313775422303018,0.39109338688598005,0.9242245371508665,nan,0.31779976087123446,8,4948.982811608001,28.55536566398962,611.620806265138,priority_resource_greedy,4.689824227500002,real_all
0.6660523016529558,0.3592589237813897,0.9209907825387105,nan,0.1570424189192949,8,5062.592888357261,30.363370534428945,647.5016188231882,aco,82.57594511374995,real_all
0.6850771091108496,0.34840502623742764,0.9194718422527371,nan,0.08773918354907834,8,5055.485597473293,31.186022558915532,662.6148427686228,milp,39.948761789375,real_all
0.581806777537999,0.3611711046699882,0.9262593222751299,0.921221739751607,0.5057162145652365,32,5607.993125675239,33.87246678510779,713.1046641073294,full,2.0971131654166664,core_learning_complete
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9465733807605361,0.6345187509648341,32,6085.011422033855,32.17676757263948,686.9365050018943,traditional_ppo,1.1740246521874655,core_learning_complete
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.9067420198149118,0.5141184144192313,32,5624.742413672664,33.768556432613835,711.3772839513491,a2c_pointer,2.0225506342708335,core_learning_complete
