D4_scope_specific,condition_count,map_consistency,map_count,mean_retention,missing_conditions_imputed,model,perturbed_safe_rate,scope,worst_retention
0.9791581858553476,2,0.8978679980092563,8,0.9863446003401362,False,a2c_pointer,1.0,known_domain_shift,0.9827784863945579
0.980728815728303,2,0.9030343307524153,8,0.9888233418367347,False,full,1.0,known_domain_shift,0.9829868197278911
0.9790678472045088,2,0.9045538972151543,8,0.9845254039115646,False,no_domain_randomization,1.0,known_domain_shift,0.9826743197278911
0.9831266550284181,2,0.9194202492637724,8,0.9902264030612246,False,priority_resource_greedy,1.0,known_domain_shift,0.9836468962585034
0.9898633907149951,2,0.9520767217758002,8,0.9935453869047619,False,traditional_ppo,1.0,known_domain_shift,0.9907918792517006
0.8894592964180629,4,0.9028688995547779,8,0.9254916028911566,False,a2c_pointer,0.8625,hidden_model_perception_mismatch,0.8549192176870748
0.907393546223813,4,0.9124558704013938,8,0.9402742346938775,False,full,0.8875,hidden_model_perception_mismatch,0.8751275510204082
0.8906890492351258,4,0.9026643018750669,8,0.9279400510204081,False,no_domain_randomization,0.8666666666666666,hidden_model_perception_mismatch,0.8530442176870747
0.9951922440358745,4,0.9686231206308523,8,0.998821481717687,False,no_return_reserve,1.0,hidden_model_perception_mismatch,0.9960044642857143
0.9110455511921185,4,0.9065333180436315,8,0.9458718643707483,False,priority_resource_greedy,0.8854166666666666,hidden_model_perception_mismatch,0.8832004676870748
0.9336079789572798,4,0.9497277487564696,8,0.9655447491496598,False,traditional_ppo,0.8645833333333334,hidden_model_perception_mismatch,0.9316687925170068
