condition,family,map_id,model,perturbed_safe_rate,perturbed_safe_weighted_coverage,repeat_count,retention
power_model,known_domain_shift,global_alps,traditional_ppo,1.0,0.2535714285714286,15,0.98125
wind,known_domain_shift,global_alps,traditional_ppo,1.0,0.2723214285714286,15,1.0
dem_error,hidden_model_perception_mismatch,global_colorado_rockies,traditional_ppo,0.9333333333333333,0.33042517006802724,15,0.9722789115646259
localization,hidden_model_perception_mismatch,global_colorado_rockies,traditional_ppo,0.8666666666666667,0.3095918367346939,15,0.9514455782312925
power_model,hidden_model_perception_mismatch,global_colorado_rockies,traditional_ppo,0.6666666666666666,0.2531462585034014,15,0.895
wind,hidden_model_perception_mismatch,global_colorado_rockies,traditional_ppo,0.7333333333333333,0.27314625850340135,15,0.915
power_model,known_domain_shift,global_colorado_rockies,traditional_ppo,1.0,0.3564795918367347,15,0.99
wind,known_domain_shift,global_colorado_rockies,traditional_ppo,1.0,0.359812925170068,15,0.9933333333333333
dem_error,hidden_model_perception_mismatch,global_peruvian_andes,traditional_ppo,1.0,0.2420238095238095,15,1.0
localization,hidden_model_perception_mismatch,global_peruvian_andes,traditional_ppo,0.8,0.19334183673469385,15,0.9513180272108843
power_model,hidden_model_perception_mismatch,global_peruvian_andes,traditional_ppo,0.6666666666666666,0.1545238095238095,15,0.9125
wind,hidden_model_perception_mismatch,global_peruvian_andes,traditional_ppo,0.8,0.19327380952380951,15,0.95125
power_model,known_domain_shift,global_peruvian_andes,traditional_ppo,1.0,0.22952380952380952,15,0.9854166666666667
wind,known_domain_shift,global_peruvian_andes,traditional_ppo,1.0,0.24035714285714285,15,0.9966666666666667
dem_error,hidden_model_perception_mismatch,global_southern_alps_nz,traditional_ppo,0.9333333333333333,0.24119897959183675,15,0.9876700680272109
localization,hidden_model_perception_mismatch,global_southern_alps_nz,traditional_ppo,0.9333333333333333,0.23477891156462588,15,0.98125
power_model,hidden_model_perception_mismatch,global_southern_alps_nz,traditional_ppo,0.6666666666666666,0.14727891156462583,15,0.89375
wind,hidden_model_perception_mismatch,global_southern_alps_nz,traditional_ppo,0.8666666666666667,0.20352891156462585,15,0.95
power_model,known_domain_shift,global_southern_alps_nz,traditional_ppo,1.0,0.24727891156462586,15,0.9916666666666667
wind,known_domain_shift,global_southern_alps_nz,traditional_ppo,1.0,0.24519557823129254,15,0.9916666666666667
