D1_mission_effectiveness,D2_resource_efficiency,D3_safety_reliability,constraint_free_rate,distance_efficiency,domain,energy_efficiency,high_priority_coverage,map_id,mean_planning_time_s,mean_safe_distance_m,mean_safe_energy_wh,mean_safe_time_s,model,node_count,oracle_attainment,repeat_count,return_rate,safe_rate,soc_utility,task_id,time_efficiency,weighted_coverage
0.8063858695652175,0.37792878568747246,0.8707736481964733,1.0,0.34034144067245153,real,0.0023298287139634777,1.0,cn_guizhou_karst,1.386233679999998,5625.933296308836,31.63971190732583,679.1758961042913,a2c_pointer,16,0.9130434782608703,5,1.0,1.0,0.2506413824127523,real_test__cn_guizhou_karst__road_00__task_00,0.7300699636736809,0.65625
0.525,0.596322045888177,0.9737656882099143,1.0,0.07187113337421014,real,0.6887431894007445,0.4,cn_guizhou_karst,0.6484193000000019,5150.846423385401,26.89258843577567,581.1393477597403,a2c_pointer,16,0.85,5,1.0,1.0,0.7665573920505584,real_test__cn_guizhou_karst__road_00__task_01,0.84323536563591,0.425
0.369375,0.13548914894920944,0.8865446683875403,1.0,0.07359141176405595,real,0.18487910570320387,0.16,cn_guizhou_karst,0.6098322200000009,4765.057923764314,25.355141099923607,543.4592924697458,a2c_pointer,16,0.6799999999999999,5,1.0,1.0,0.29992054966438236,real_test__cn_guizhou_karst__road_00__task_02,0.1309590225301852,0.31875
0.7666666666666666,0.2978265924031715,0.8864726223854096,1.0,0.090377896751389,real,0.14145970670007296,0.8666666666666666,cn_guizhou_karst,1.229438640000005,5986.304321943093,34.73241165387973,741.8601549247662,a2c_pointer,20,0.8800000000000001,5,1.0,1.0,0.29967690513041945,real_test__cn_guizhou_karst__road_00__task_03,0.5643030521757467,0.6599999999999999
0.5128787878787879,0.37380164292152596,0.8724915756864051,1.0,0.3050471819106157,real,0.01600081190116436,0.3333333333333333,cn_guizhou_karst,1.3132411999999989,7457.142976084107,39.88788301460248,863.3447621224353,a2c_pointer,20,0.8181818181818183,5,1.0,1.0,0.2556303551252781,real_test__cn_guizhou_karst__road_00__task_04,0.7298489081961612,0.45
0.3596428571428571,0.5909072743108374,0.9719141648953815,1.0,0.028186436922115643,real,0.7215013273579081,0.19999999999999998,cn_guizhou_karst,0.6451166600000029,4198.165550194545,22.327185489355795,479.15333496573805,a2c_pointer,20,0.7285714285714284,5,1.0,1.0,0.7521061098830736,real_test__cn_guizhou_karst__road_00__task_05,0.8283380012626018,0.255
0.8378692266380237,0.27565421318741745,0.9518083352683039,1.0,0.34797686370485775,real,0.5078817428382905,0.975,cn_guizhou_karst,1.9723488999999976,6173.0384293123525,40.21071031984184,847.031595140707,a2c_pointer,24,0.9315789473684213,5,1.0,1.0,0.6102320833910666,real_test__cn_guizhou_karst__road_00__task_06,0.02725346816950347,0.7224489795918367
0.5601568405139834,0.18865678617821632,0.9476766337766944,1.0,0.0670590397917622,real,0.4456720575916232,0.45,cn_guizhou_karst,1.9267929999999969,9128.62327906581,47.89393422408376,1031.4159568586688,a2c_pointer,24,0.8518518518518519,5,1.0,1.0,0.5842540431937174,real_test__cn_guizhou_karst__road_00__task_07,0.03976701518301915,0.46938775510204084
0.47971938775510203,0.4175545969516008,0.8785959588109904,1.0,0.3599922437113027,real,0.056839167868863893,0.375,cn_guizhou_karst,1.8303012599999953,9500.792225967027,46.04833473415712,1005.9830209106901,a2c_pointer,24,0.85,5,1.0,1.0,0.2740892569667166,real_test__cn_guizhou_karst__road_00__task_08,0.769157068174182,0.3469387755102041
0.865,0.3295561094994013,0.8707514438559198,1.0,0.27007132167698783,real,0.002439423449386591,1.0,cn_guizhou_karst,0.8266987800000003,4253.081168676283,27.204420950843325,575.7370008572494,a2c_pointer,16,0.96,5,1.0,1.0,0.250577477308863,real_test__cn_guizhou_karst__road_01__task_00,0.6529612021821725,0.75
0.5439583333333333,0.5772607171554567,0.973705746922399,1.0,0.045988946997865446,real,0.7026247069552886,0.4800000000000001,cn_guizhou_karst,0.7331488000000043,4511.274144764489,25.16261288753337,542.1560953319444,a2c_pointer,16,0.7333333333333332,5,1.0,1.0,0.7660856593551608,real_test__cn_guizhou_karst__road_01__task_01,0.7996120824290982,0.48125
0.5010416666666666,0.26539871058339204,0.9046047531229636,1.0,0.3322390078821891,real,0.43206560827272894,0.4,cn_guizhou_karst,0.6360288999999952,3407.7377589224807,17.706957563373212,388.74470570309313,a2c_pointer,16,0.9166666666666666,5,1.0,1.0,0.36693459003399015,real_test__cn_guizhou_karst__road_01__task_02,0.07778998929347414,0.34375
0.7973958333333333,0.25549567429318276,0.8884372720079977,1.0,0.003199500513419218,real,0.15927435241750043,0.8333333333333334,cn_guizhou_karst,1.2362219799999985,5716.798610082282,34.2866929858414,732.4088459426017,a2c_pointer,20,0.9062499999999998,5,1.0,1.0,0.3063851410431268,real_test__cn_guizhou_karst__road_01__task_03,0.497374439546757,0.725
0.49000000000000005,0.47035361935030273,0.8811015246623278,1.0,0.4690903312853475,real,0.098793385851106,0.2,cn_guizhou_karst,1.3735708800000033,6747.4518646283295,33.63494859581286,737.82089953296,a2c_pointer,20,0.8800000000000001,5,1.0,1.0,0.2820067655467359,real_test__cn_guizhou_karst__road_01__task_04,0.7962583787026969,0.44000000000000006
0.46166666666666667,0.5509705647983468,0.9607528231879027,1.0,0.06774378211213875,real,0.560086171901955,0.26666666666666666,cn_guizhou_karst,1.1003536799999978,7279.056549268421,38.0085547476711,818.3411398189121,a2c_pointer,20,0.79,5,1.0,1.0,0.6700646289264662,real_test__cn_guizhou_karst__road_01__task_05,0.8450111477615698,0.395
0.7801530612244897,0.2302215417514675,0.941007792522719,1.0,0.055442005732841394,real,0.41724633779961434,0.975,cn_guizhou_karst,1.9825865199999981,8882.659269847029,47.37059093838184,1026.373033595677,a2c_pointer,24,0.8150000000000001,5,1.0,1.0,0.5444176524427625,real_test__cn_guizhou_karst__road_01__task_06,0.17581205522098037,0.6653061224489795
0.5233418367346939,0.2280959638212657,0.9390429031115606,1.0,0.04267575373809869,real,0.4123040244414519,0.425,cn_guizhou_karst,1.8204324400000018,9077.064877492874,46.49577376228033,1007.5340757901707,a2c_pointer,24,0.7785714285714287,5,1.0,1.0,0.5331560579449429,real_test__cn_guizhou_karst__road_01__task_07,0.1828015420805822,0.4448979591836735
0.4099631519274377,0.45858141248795037,0.8727715143270527,1.0,0.5064199956449605,real,0.022898771776782234,0.175,cn_guizhou_karst,1.537806079999998,6197.954643957526,31.714363623648524,689.3412288179227,a2c_pointer,24,0.8444444444444447,5,1.0,1.0,0.256451729517408,real_test__cn_guizhou_karst__road_01__task_08,0.8099046086370911,0.31020408163265306
0.654375,0.542387466911685,0.9659197059534441,1.0,0.05988511360331983,real,0.6093134711152959,0.6799999999999999,cn_hengduan,0.6106111600000034,5287.4282148446055,33.755316095638435,693.0967413389586,a2c_pointer,16,0.7750000000000001,5,1.0,1.0,0.7069851033364718,real_test__cn_hengduan__road_00__task_00,0.7853911840512536,0.58125
0.601736111111111,0.19785172243779897,0.9124784375670623,1.0,0.08207364001067141,real,0.3372131151439155,0.4,cn_hengduan,0.917599220000001,6094.148366357558,33.99820736039811,726.2205608307985,a2c_pointer,16,0.9444444444444444,5,1.0,1.0,0.40015302654088875,real_test__cn_hengduan__road_00__task_01,0.14827180533690176,0.53125
