aggregation,first_place_share,grid_count,maximum_score,mean_rank,mean_score,minimum_score,model,scope
arithmetic,0.8888888888888888,225,0.7325040331375927,1.1111111111111112,0.6397863582045259,0.560646097550126,a2c_pointer,core_learning_complete
arithmetic,0.1111111111111111,225,0.7333482815598767,1.8888888888888888,0.6383043762932658,0.5580048092608928,full,core_learning_complete
arithmetic,0.0,225,0.6765303255776638,3.0,0.5632969734490865,0.4608115847385694,traditional_ppo,core_learning_complete
geometric,1.0,225,0.6941978586841759,1.0,0.6041005922094307,0.528208849184396,a2c_pointer,core_learning_complete
geometric,0.0,225,0.6938669956318814,2.0,0.6018197524119934,0.5252955437278073,full,core_learning_complete
geometric,0.0,225,0.6006554903386876,3.0,0.49950785374826306,0.4120777697677723,traditional_ppo,core_learning_complete
arithmetic,0.7733333333333333,225,0.6918005577596739,1.44,0.6114223604164731,0.5460433000073137,a2c_pointer,real_all
arithmetic,0.035555555555555556,225,0.6882510110187009,2.9244444444444446,0.5905952509024632,0.4861166314751483,aco,real_all
arithmetic,0.0,225,0.6896693633959239,2.537777777777778,0.608554210163413,0.5433147261794364,full,real_all
arithmetic,0.19111111111111112,225,0.6871651689740481,3.8133333333333335,0.5861172489379057,0.47229436790372453,milp,real_all
arithmetic,0.0,225,0.6621379960276802,5.568888888888889,0.5665523529474547,0.48913882864436187,nearest_feasible,real_all
arithmetic,0.0,225,0.6635962120460468,4.977777777777778,0.5686459378512638,0.496758635488995,priority_resource_greedy,real_all
arithmetic,0.0,225,0.6119209468379653,6.737777777777778,0.5171152442147001,0.4370394405443237,traditional_ppo,real_all
geometric,1.0,225,0.6538271568295375,1.0,0.5799807989860412,0.5177076483182994,a2c_pointer,real_all
geometric,0.0,225,0.6309644804583348,4.4222222222222225,0.5207248018445924,0.4119591230410555,aco,real_all
geometric,0.0,225,0.6515280162137681,2.0,0.57718525425113,0.5152927703392357,full,real_all
geometric,0.0,225,0.6158580264925003,6.053333333333334,0.4876990159060565,0.36293190515765544,milp,real_all
geometric,0.0,225,0.6149546872943682,4.582222222222223,0.5266201527022687,0.4538140954112326,nearest_feasible,real_all
geometric,0.0,225,0.6189468241864947,3.5733333333333333,0.5318512535692014,0.46484899512739386,priority_resource_greedy,real_all
geometric,0.0,225,0.550923737251815,6.368888888888889,0.4637181891535263,0.39683875187860806,traditional_ppo,real_all
arithmetic,0.16,225,0.6860885151768519,2.7733333333333334,0.6026325665732227,0.5388177453808556,a2c_pointer,synthetic_all
arithmetic,0.0,225,0.6870943366063957,4.488888888888889,0.5869021340178245,0.4810821390393906,aco,synthetic_all
arithmetic,0.0,225,0.6830904706279641,4.057777777777778,0.5986191466120416,0.5344615312380633,full,synthetic_all
arithmetic,0.0,225,0.6858573225423394,3.937777777777778,0.5927034751151969,0.5155216769858023,ga,synthetic_all
arithmetic,0.0,225,0.6869712631678779,5.1466666666666665,0.583847014753974,0.4698533301846685,milp,synthetic_all
arithmetic,0.0,225,0.6519100151980944,8.044444444444444,0.551628779932968,0.4752178426080431,nearest_feasible,synthetic_all
arithmetic,0.0,225,0.6651898183849267,6.613333333333333,0.5679452310569096,0.4995893975787862,priority_resource_greedy,synthetic_all
arithmetic,0.84,225,0.7020480145848516,1.24,0.615425825996544,0.5332947440460889,sa,synthetic_all
arithmetic,0.0,225,0.6141705522573646,8.697777777777778,0.5153446524248648,0.43345090829892396,traditional_ppo,synthetic_all
geometric,0.29777777777777775,225,0.6447916004484286,1.991111111111111,0.5691979756031088,0.5071358236721795,a2c_pointer,synthetic_all
geometric,0.0,225,0.6269260275822972,6.222222222222222,0.515899279551951,0.407049207630432,aco,synthetic_all
geometric,0.0,225,0.6411798050695993,3.2666666666666666,0.5648613589479118,0.5037058499588931,full,synthetic_all
geometric,0.0,225,0.6430802702778704,3.382222222222222,0.5553204659534555,0.48138493647837716,ga,synthetic_all
geometric,0.0,225,0.6153292876318506,7.871111111111111,0.48893548889148597,0.3663078184952278,milp,synthetic_all
geometric,0.0,225,0.5999098568295639,7.0088888888888885,0.50925348184106,0.43896283568046973,nearest_feasible,synthetic_all
geometric,0.0,225,0.6195801637536981,5.4,0.5310880166032939,0.46808254820329687,priority_resource_greedy,synthetic_all
geometric,0.7022222222222222,225,0.6603460325181771,1.488888888888889,0.577785093894502,0.4985481832200715,sa,synthetic_all
geometric,0.0,225,0.5500938862850671,8.36888888888889,0.4593107209616558,0.3919410625014485,traditional_ppo,synthetic_all
