domain,model,map_id,safe_weighted_coverage,weighted_coverage,safe_rate,return_rate,planning_time_s
未见合成,full,synthetic_test__map_023,0.5278854875,0.5278854875,1,1,1.372093484
未见合成,ga,synthetic_test__map_000,0.5015362812,0.5015362812,1,1,5.714900911
未见合成,ga,synthetic_test__map_001,0.4707482993,0.4707482993,1,1,5.429307958
未见合成,ga,synthetic_test__map_002,0.4899433107,0.4899433107,1,1,5.498395833
未见合成,ga,synthetic_test__map_003,0.4827437642,0.4827437642,1,1,5.681565964
未见合成,ga,synthetic_test__map_004,0.5069047619,0.5069047619,1,1,5.595652891
未见合成,ga,synthetic_test__map_005,0.5185345805,0.5185345805,1,1,5.616868544
未见合成,ga,synthetic_test__map_006,0.4865646259,0.4865646259,1,1,5.433901784
未见合成,ga,synthetic_test__map_007,0.4511252834,0.4511252834,1,1,5.548709669
未见合成,ga,synthetic_test__map_008,0.4830753968,0.4830753968,1,1,5.640808138
未见合成,ga,synthetic_test__map_009,0.4887981859,0.4887981859,1,1,5.29675908
未见合成,ga,synthetic_test__map_010,0.4505810658,0.4505810658,1,1,4.868580082
未见合成,ga,synthetic_test__map_011,0.4792176871,0.4792176871,1,1,5.643522727
未见合成,ga,synthetic_test__map_012,0.4936933107,0.4936933107,1,1,5.636538313
未见合成,ga,synthetic_test__map_013,0.4828911565,0.4828911565,1,1,5.349253564
未见合成,ga,synthetic_test__map_014,0.4219274376,0.4219274376,1,1,5.148249856
未见合成,ga,synthetic_test__map_015,0.4575368481,0.4575368481,1,1,5.533912778
未见合成,ga,synthetic_test__map_016,0.5050623583,0.5050623583,1,1,5.661315198
未见合成,ga,synthetic_test__map_017,0.5275198413,0.5275198413,1,1,5.65307112
未见合成,ga,synthetic_test__map_018,0.4937698413,0.4937698413,1,1,5.467844778
未见合成,ga,synthetic_test__map_019,0.500643424,0.500643424,1,1,5.642826711
未见合成,ga,synthetic_test__map_020,0.5208588435,0.5208588435,1,1,5.718290407
未见合成,ga,synthetic_test__map_021,0.4794331066,0.4794331066,1,1,5.501247304
未见合成,ga,synthetic_test__map_022,0.4899206349,0.4899206349,1,1,5.320743929
未见合成,ga,synthetic_test__map_023,0.5038265306,0.5038265306,1,1,5.752448564
未见合成,milp,synthetic_test__map_000,0.5581207483,0.5581207483,1,1,14.36368517
未见合成,milp,synthetic_test__map_001,0.5463151927,0.5463151927,1,1,29.40903873
未见合成,milp,synthetic_test__map_002,0.5989937642,0.5989937642,1,1,7.565945333
未见合成,milp,synthetic_test__map_003,0.5496456916,0.5496456916,1,1,29.56732579
未见合成,milp,synthetic_test__map_004,0.5722363946,0.5722363946,1,1,16.24141652
未见合成,milp,synthetic_test__map_005,0.5840419501,0.5840419501,1,1,24.04206166
未见合成,milp,synthetic_test__map_006,0.5909863946,0.5909863946,1,1,10.57077602
未见合成,milp,synthetic_test__map_007,0.5706207483,0.5706207483,1,1,32.39892637
未见合成,milp,synthetic_test__map_008,0.5485827664,0.5485827664,1,1,13.11023347
未见合成,milp,synthetic_test__map_009,0.5970946712,0.5970946712,1,1,30.91528946
未见合成,milp,synthetic_test__map_010,0.5804705215,0.5804705215,1,1,9.4364544
未见合成,milp,synthetic_test__map_011,0.5630243764,0.5630243764,1,1,34.98113814
未见合成,milp,synthetic_test__map_012,0.5395549887,0.5395549887,1,1,13.89677072
未见合成,milp,synthetic_test__map_013,0.5636763039,0.5636763039,1,1,17.92299324
未见合成,milp,synthetic_test__map_014,0.5489937642,0.5489937642,1,1,6.967432022
未见合成,milp,synthetic_test__map_015,0.5383503401,0.5383503401,1,1,26.72515757
未见合成,milp,synthetic_test__map_016,0.5798752834,0.5798752834,1,1,20.10405036
未见合成,milp,synthetic_test__map_017,0.5888038549,0.5888038549,1,1,32.20595981
未见合成,milp,synthetic_test__map_018,0.5761196145,0.5761196145,1,1,13.1328048
未见合成,milp,synthetic_test__map_019,0.572973356,0.572973356,1,1,28.69759817
未见合成,milp,synthetic_test__map_020,0.5933956916,0.5933956916,1,1,17.79260281
未见合成,milp,synthetic_test__map_021,0.5613095238,0.5613095238,1,1,25.092303
未见合成,milp,synthetic_test__map_022,0.6008928571,0.6008928571,1,1,7.9932058
未见合成,milp,synthetic_test__map_023,0.581547619,0.581547619,1,1,36.24370958
未见合成,nearest_feasible,synthetic_test__map_000,0.464526644,0.464526644,1,1,3.195332144
未见合成,nearest_feasible,synthetic_test__map_001,0.4309665533,0.4309665533,1,1,2.659296789
未见合成,nearest_feasible,synthetic_test__map_002,0.4686933107,0.4686933107,1,1,3.219475778
未见合成,nearest_feasible,synthetic_test__map_003,0.4516439909,0.4516439909,1,1,3.636188867
未见合成,nearest_feasible,synthetic_test__map_004,0.4740221088,0.4740221088,1,1,3.134311667
未见合成,nearest_feasible,synthetic_test__map_005,0.4405895692,0.4405895692,1,1,3.010546089
未见合成,nearest_feasible,synthetic_test__map_006,0.44611678,0.44611678,1,1,2.9803899
未见合成,nearest_feasible,synthetic_test__map_007,0.4530895692,0.4530895692,1,1,3.347300122
未见合成,nearest_feasible,synthetic_test__map_008,0.4769699546,0.4769699546,1,1,3.252428444
未见合成,nearest_feasible,synthetic_test__map_009,0.3728174603,0.3728174603,1,1,3.016421744
未见合成,nearest_feasible,synthetic_test__map_010,0.4854450113,0.4854450113,1,1,3.068669033
未见合成,nearest_feasible,synthetic_test__map_011,0.4557256236,0.4557256236,1,1,3.556424156
未见合成,nearest_feasible,synthetic_test__map_012,0.4080924036,0.4080924036,1,1,3.241170867
未见合成,nearest_feasible,synthetic_test__map_013,0.4272534014,0.4272534014,1,1,2.963242478
未见合成,nearest_feasible,synthetic_test__map_014,0.4105017007,0.4105017007,1,1,2.869595822
未见合成,nearest_feasible,synthetic_test__map_015,0.4643849206,0.4643849206,1,1,3.553335911
未见合成,nearest_feasible,synthetic_test__map_016,0.5089143991,0.5089143991,1,1,3.399368444
未见合成,nearest_feasible,synthetic_test__map_017,0.4664115646,0.4664115646,1,1,3.418343244
未见合成,nearest_feasible,synthetic_test__map_018,0.3986536281,0.3986536281,1,1,2.876112422
未见合成,nearest_feasible,synthetic_test__map_019,0.4528486395,0.4528486395,1,1,3.454701067
未见合成,nearest_feasible,synthetic_test__map_020,0.483319161,0.483319161,1,1,3.316547667
未见合成,nearest_feasible,synthetic_test__map_021,0.462755102,0.462755102,1,1,3.148522767
未见合成,nearest_feasible,synthetic_test__map_022,0.4660997732,0.4660997732,1,1,2.843269278
未见合成,nearest_feasible,synthetic_test__map_023,0.5242346939,0.5242346939,1,1,3.572028889
未见合成,no_domain_randomization,synthetic_test__map_000,0.4848157596,0.4848157596,1,1,1.182062731
未见合成,no_domain_randomization,synthetic_test__map_001,0.4519472789,0.4519472789,1,1,1.052649978
未见合成,no_domain_randomization,synthetic_test__map_002,0.5339795918,0.5339795918,1,1,1.211922067
未见合成,no_domain_randomization,synthetic_test__map_003,0.455042517,0.455042517,1,1,1.337329184
未见合成,no_domain_randomization,synthetic_test__map_004,0.513707483,0.513707483,1,1,1.213318373
未见合成,no_domain_randomization,synthetic_test__map_005,0.496425737,0.496425737,1,1,1.120354302
未见合成,no_domain_randomization,synthetic_test__map_006,0.524478458,0.524478458,1,1,1.135952787
未见合成,no_domain_randomization,synthetic_test__map_007,0.4604195011,0.4604195011,1,1,1.3567961
未见合成,no_domain_randomization,synthetic_test__map_008,0.4825538549,0.4825538549,1,1,1.225131418
未见合成,no_domain_randomization,synthetic_test__map_009,0.4528684807,0.4528684807,1,1,1.236053189
未见合成,no_domain_randomization,synthetic_test__map_010,0.4927636054,0.4927636054,1,1,1.195348604
未见合成,no_domain_randomization,synthetic_test__map_011,0.4650226757,0.4650226757,1,1,1.39799448
未见合成,no_domain_randomization,synthetic_test__map_012,0.4793055556,0.4793055556,1,1,1.206412973
未见合成,no_domain_randomization,synthetic_test__map_013,0.4814285714,0.4814285714,1,1,1.130869482
未见合成,no_domain_randomization,synthetic_test__map_014,0.4483645125,0.4483645125,1,1,1.047604916
未见合成,no_domain_randomization,synthetic_test__map_015,0.4663010204,0.4663010204,1,1,1.324546062
未见合成,no_domain_randomization,synthetic_test__map_016,0.5000453515,0.5000453515,1,1,1.247328076
未见合成,no_domain_randomization,synthetic_test__map_017,0.4742346939,0.4742346939,1,1,1.343621078
未见合成,no_domain_randomization,synthetic_test__map_018,0.5083843537,0.5083843537,1,1,1.170525778
未见合成,no_domain_randomization,synthetic_test__map_019,0.4645975057,0.4645975057,1,1,1.303516367
未见合成,no_domain_randomization,synthetic_test__map_020,0.5023441043,0.5023441043,1,1,1.221477238
未见合成,no_domain_randomization,synthetic_test__map_021,0.4909665533,0.4909665533,1,1,1.211956249
未见合成,no_domain_randomization,synthetic_test__map_022,0.4844926304,0.4844926304,1,1,1.065550907
未见合成,no_domain_randomization,synthetic_test__map_023,0.5159977324,0.5159977324,1,1,1.418927547
未见合成,no_priority_bias,synthetic_test__map_000,0.5037585034,0.5037585034,1,1,1.205633409
未见合成,no_priority_bias,synthetic_test__map_001,0.4326247166,0.4326247166,1,1,1.043290664
未见合成,no_priority_bias,synthetic_test__map_002,0.5283049887,0.5283049887,1,1,1.195939147
未见合成,no_priority_bias,synthetic_test__map_003,0.4726360544,0.4726360544,1,1,1.33936862
未见合成,no_priority_bias,synthetic_test__map_004,0.505303288,0.505303288,1,1,1.155884669
未见合成,no_priority_bias,synthetic_test__map_005,0.5101842404,0.5101842404,1,1,1.126267507
未见合成,no_priority_bias,synthetic_test__map_006,0.4908786848,0.4908786848,1,1,1.039767427
未见合成,no_priority_bias,synthetic_test__map_007,0.4617913832,0.4617913832,1,1,1.272879029
未见合成,no_priority_bias,synthetic_test__map_008,0.4740929705,0.4740929705,1,1,1.116541736
未见合成,no_priority_bias,synthetic_test__map_009,0.4598412698,0.4598412698,1,1,1.200114802
未见合成,no_priority_bias,synthetic_test__map_010,0.483319161,0.483319161,1,1,1.119724898
未见合成,no_priority_bias,synthetic_test__map_011,0.4830895692,0.4830895692,1,1,1.381746613
