a2c_pointer_score,aggregation,full_minus_a2c_points,full_score,operational_floor,traditional_ppo_score
75.5320119762795,geometric,0.4952321352765239,76.02724411155603,0.0,48.457507047422766
79.14342017785575,arithmetic,0.7424122502583828,79.88583242811413,0.0,59.67521192431469
74.90821764880953,geometric,0.6830003531626545,75.59121800197218,0.2,0.0
78.37738571128106,arithmetic,0.9701496006022694,79.34753531188333,0.2,55.813318806550186
73.85388662116787,geometric,1.0009871413342495,74.85487376250212,0.4,0.0
77.10066160032329,arithmetic,1.349711851175357,78.45037345149865,0.4,55.36461819360938
71.6853322056879,geometric,1.657878996184479,73.34321120187238,0.6,0.0
74.54721337840773,arithmetic,2.108836352321589,76.65604973072932,0.6,54.46721696772776
64.56276440601117,geometric,3.857814572279267,68.42057897829044,0.8,0.0
66.88686871266101,arithmetic,4.386209855760299,71.27307856842131,0.8,51.77501329008288
