D1,D2,D3,D4,D5,D6,D7,aggregation,model,operational_floor,score_0_to_1,score_0_to_100
0.581806777537999,0.3611711046699882,0.9262593222751299,0.921221739751607,0.5057162145652365,0.9860331344401345,0.9653911374999999,geometric,full,0.0,0.7602724411155604,76.02724411155603
0.581806777537999,0.3611711046699882,0.9262593222751299,0.921221739751607,0.5057162145652365,0.9860331344401345,0.9653911374999999,arithmetic,full,0.0,0.7988583242811413,79.88583242811413
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9465733807605361,0.6345187509648341,0.9862258908767005,0.17963363750000003,geometric,traditional_ppo,0.0,0.48457507047422765,48.457507047422766
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9465733807605361,0.6345187509648341,0.9862258908767005,0.17963363750000003,arithmetic,traditional_ppo,0.0,0.5967521192431469,59.67521192431469
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.9067420198149118,0.5141184144192313,0.9700945293238822,0.9466420624999999,geometric,a2c_pointer,0.0,0.7553201197627951,75.5320119762795
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.9067420198149118,0.5141184144192313,0.9700945293238822,0.9466420624999999,arithmetic,a2c_pointer,0.0,0.7914342017785575,79.14342017785575
0.581806777537999,0.3611711046699882,0.9262593222751299,0.9015271746895087,0.5057162145652365,0.9825414180501681,0.956738921875,geometric,full,0.2,0.7559121800197218,75.59121800197218
0.581806777537999,0.3611711046699882,0.9262593222751299,0.9015271746895087,0.5057162145652365,0.9825414180501681,0.956738921875,arithmetic,full,0.2,0.7934753531188333,79.34753531188333
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9332167259506702,0.6345187509648341,0.9827823635958757,0.0,geometric,traditional_ppo,0.2,0.0,0.0
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9332167259506702,0.6345187509648341,0.9827823635958757,0.0,arithmetic,traditional_ppo,0.2,0.5581331880655018,55.813318806550186
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.8834275247686396,0.5141184144192313,0.9626181616548526,0.9333025781249998,geometric,a2c_pointer,0.2,0.7490821764880953,74.90821764880953
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.8834275247686396,0.5141184144192313,0.9626181616548526,0.9333025781249998,arithmetic,a2c_pointer,0.2,0.7837738571128107,78.37738571128106
0.581806777537999,0.3611711046699882,0.9262593222751299,0.8687028995860118,0.5057162145652365,0.9767218907335575,0.9423185624999999,geometric,full,0.4,0.7485487376250212,74.85487376250212
0.581806777537999,0.3611711046699882,0.9262593222751299,0.8687028995860118,0.5057162145652365,0.9767218907335575,0.9423185624999999,arithmetic,full,0.4,0.7845037345149866,78.45037345149865
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9109556346008935,0.6345187509648341,0.9770431514611676,0.0,geometric,traditional_ppo,0.4,0.0,0.0
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.9109556346008935,0.6345187509648341,0.9770431514611676,0.0,arithmetic,traditional_ppo,0.4,0.5536461819360938,55.36461819360938
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.8445700330248529,0.5141184144192313,0.950157548873137,0.9110701041666666,geometric,a2c_pointer,0.4,0.7385388662116787,73.85388662116787
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.8445700330248529,0.5141184144192313,0.950157548873137,0.9110701041666666,arithmetic,a2c_pointer,0.4,0.771006616003233,77.10066160032329
0.581806777537999,0.3611711046699882,0.9262593222751299,0.8030543493790177,0.5057162145652365,0.9650828361003363,0.9134778437499999,geometric,full,0.6,0.7334321120187237,73.34321120187238
0.581806777537999,0.3611711046699882,0.9262593222751299,0.8030543493790177,0.5057162145652365,0.9650828361003363,0.9134778437499999,arithmetic,full,0.6,0.7665604973072933,76.65604973072932
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.8664334519013402,0.6345187509648341,0.9655647271917513,0.0,geometric,traditional_ppo,0.6,0.0,0.0
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.8664334519013402,0.6345187509648341,0.9655647271917513,0.0,arithmetic,traditional_ppo,0.6,0.5446721696772776,54.46721696772776
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.7668550495372795,0.5141184144192313,0.9252363233097055,0.8666051562499999,geometric,a2c_pointer,0.6,0.716853322056879,71.6853322056879
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.7668550495372795,0.5141184144192313,0.9252363233097055,0.8666051562499999,arithmetic,a2c_pointer,0.6,0.7454721337840773,74.54721337840773
0.581806777537999,0.3611711046699882,0.9262593222751299,0.6061086987580351,0.5057162145652365,0.9301656722006726,0.8269556874999997,geometric,full,0.8,0.6842057897829044,68.42057897829044
0.581806777537999,0.3611711046699882,0.9262593222751299,0.6061086987580351,0.5057162145652365,0.9301656722006726,0.8269556874999997,arithmetic,full,0.8,0.7127307856842131,71.27307856842131
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.7328669038026804,0.6345187509648341,0.9311294543835027,0.0,geometric,traditional_ppo,0.8,0.0,0.0
0.3028015940746522,0.36394255979143725,0.9291369411141035,0.7328669038026804,0.6345187509648341,0.9311294543835027,0.0,arithmetic,traditional_ppo,0.8,0.5177501329008288,51.77501329008288
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.5337100990745587,0.5141184144192313,0.8504726466194109,0.7332103124999996,geometric,a2c_pointer,0.8,0.6456276440601116,64.56276440601117
0.5878265529474613,0.3616107587101657,0.9264327326007389,0.5337100990745587,0.5141184144192313,0.8504726466194109,0.7332103124999996,arithmetic,a2c_pointer,0.8,0.6688686871266102,66.88686871266101
