dimension,learning_curve_auc,map_consistency,mean_retention,model,perturbed_safe_rate,seed_consistency,tail_temporal_sd,threshold_efficiency,unit_id,unit_type,validation_auc,value,worst_retention
D4,,0.9028921369246273,0.9617913832199546,a2c_pointer,0.9111111111111111,,,,cn_guizhou_karst,real_map,,0.9040341116516465,0.822687074829932
D4,,0.9028921369246273,0.97765731292517,a2c_pointer,0.9666666666666667,,,,cn_hengduan,real_map,,0.936509451787701,0.8727465986394558
D4,,0.9028921369246273,0.8955413832199546,a2c_pointer,0.8111111111111112,,,,cn_qinling,real_map,,0.8404779892026669,0.7658333333333334
D4,,0.9028921369246273,0.9243707482993196,a2c_pointer,0.9111111111111111,,,,cn_taihang,real_map,,0.8692597352344128,0.7566666666666666
D4,,0.9028921369246273,1.0,a2c_pointer,1.0,,,,global_alps,real_map,,0.9902892136924627,1.0
D4,,0.9028921369246273,0.9183049886621314,a2c_pointer,0.888888888888889,,,,global_colorado_rockies,real_map,,0.8698889869350931,0.7816666666666666
D4,,0.9028921369246273,0.9482638888888889,a2c_pointer,0.8888888888888888,,,,global_peruvian_andes,real_map,,0.9092475470257962,0.8729166666666667
D4,,0.9028921369246273,0.9402777777777779,a2c_pointer,0.8888888888888888,,,,global_southern_alps_nz,real_map,,0.8960531025813517,0.8395833333333333
D4,,0.9110056628221902,0.9579024943310657,full,0.9111111111111111,,,,cn_guizhou_karst,real_map,,0.9027899086858472,0.8210204081632653
D4,,0.9110056628221902,0.9981944444444443,full,1.0,,,,cn_hengduan,real_map,,0.9887533440599968,0.9945833333333334
D4,,0.9110056628221902,0.9395479024943311,full,0.888888888888889,,,,cn_qinling,real_map,,0.8876975050577293,0.8099999999999999
D4,,0.9110056628221902,0.9309467120181405,full,0.9111111111111111,,,,cn_taihang,real_map,,0.8747014733116977,0.7633333333333333
D4,,0.9110056628221902,0.9995464852607711,full,1.0,,,,global_alps,real_map,,0.9901028338559154,0.9972789115646259
D4,,0.9110056628221902,0.9192630385487529,full,0.8777777777777778,,,,global_colorado_rockies,real_map,,0.8748613372572759,0.8016666666666667
D4,,0.9110056628221902,0.9489654195011338,full,0.888888888888889,,,,global_peruvian_andes,real_map,,0.9109645118604505,0.875
D4,,0.9110056628221902,0.9572916666666668,full,0.9222222222222222,,,,global_southern_alps_nz,real_map,,0.9090866773933303,0.8354166666666667
D6,,,,full,,0.9983090514501396,0.0023360962460480116,,42,paired_training_seed,0.49100665614343514,0.9980509923716645,
D7,,,,full,,0.9983090514501396,0.0023360962460480116,,42,paired_training_seed,0.49100665614343514,0.49100665614343514,
D6,,,,full,,0.9983090514501396,0.002728791045467438,,43,paired_training_seed,0.4900517140840335,0.9978939144518968,
D7,,,,full,,0.9983090514501396,0.002728791045467438,,43,paired_training_seed,0.4900517140840335,0.4900517140840335,
D6,,,,full,,0.9983090514501396,0.0035788466589566064,,44,paired_training_seed,0.48389059156317216,0.997553892206501,
D7,,,,full,,0.9983090514501396,0.0035788466589566064,,44,paired_training_seed,0.48389059156317216,0.48389059156317216,
D6,,,,full,,0.9983090514501396,0.0025031026974578416,,45,paired_training_seed,0.48675102768702266,0.9979841897911006,
D7,,,,full,,0.9983090514501396,0.0025031026974578416,,45,paired_training_seed,0.48675102768702266,0.48675102768702266,
D6,,,,full,,0.9983090514501396,0.003570003007993631,,46,paired_training_seed,0.4844581021337064,0.9975574296668863,
D7,,,,full,,0.9983090514501396,0.003570003007993631,,46,paired_training_seed,0.4844581021337064,0.4844581021337064,
D6,,,,a2c_pointer,,0.9971477734931614,0.0020894598791431473,,42,paired_training_seed,0.47417355918127757,0.9974528801442397,
D7,,,,a2c_pointer,,0.9971477734931614,0.0020894598791431473,,42,paired_training_seed,0.47417355918127757,0.47417355918127757,
D6,,,,a2c_pointer,,0.9971477734931614,0.002705461400743943,,43,paired_training_seed,0.4801267487621984,0.9972064795355993,
D7,,,,a2c_pointer,,0.9971477734931614,0.002705461400743943,,43,paired_training_seed,0.4801267487621984,0.4801267487621984,
D6,,,,a2c_pointer,,0.9971477734931614,0.0020846531023762725,,44,paired_training_seed,0.4810507955373344,0.9974548028549464,
D7,,,,a2c_pointer,,0.9971477734931614,0.0020846531023762725,,44,paired_training_seed,0.4810507955373344,0.4810507955373344,
D6,,,,a2c_pointer,,0.9971477734931614,0.005647638937768592,,45,paired_training_seed,0.4753346706439791,0.9960296085207895,
D7,,,,a2c_pointer,,0.9971477734931614,0.005647638937768592,,45,paired_training_seed,0.4753346706439791,0.4753346706439791,
D6,,,,a2c_pointer,,0.9971477734931614,0.002083374441270845,,46,paired_training_seed,0.47984476402678466,0.9974553143193885,
D7,,,,a2c_pointer,,0.9971477734931614,0.002083374441270845,,46,paired_training_seed,0.47984476402678466,0.47984476402678466,
