D4_difference,D6_difference,D7_difference,a2c_pointer_score,bootstrap_replicate,full_minus_a2c_points,full_score
0.006513868767361375,-0.0003802626894451322,0.01298649632220572,59.91870904260339,0,-0.0037421456918380613,59.91496689691155
0.014097117708486873,0.0008100392244764221,0.008770802275742284,58.27876513619763,1,0.4086148449220417,58.68737998111967
0.005021010492437972,-0.00042729052582690663,0.011604869994141342,58.574144602970215,2,-0.023103367503352956,58.55104123546686
0.029286698410328826,-0.00042729052582690663,0.011604869994141342,58.738330503040515,3,0.9171064970980183,59.655437000138534
0.004177206056428573,0.0009738571044372035,0.007389175947677906,59.90487882143513,4,0.038076528893938644,59.94295535032907
0.02225491599282814,0.0006882666226172285,0.00912551069195916,59.31035230522952,5,0.7434790327759586,60.05383133800548
0.006193245887899379,-0.0006438984654216773,0.008862639878852496,58.3388242607344,6,0.015599358245999895,58.3544236189804
0.00486875789925989,0.0004911251558543661,0.010187836134941841,59.47051910632306,7,0.030517985543475845,59.501037091866536
0.012876865200109,0.0005246429205105763,0.008472523931500664,58.73345516438653,8,0.3219127653065783,59.055367929693105
0.007700977609185089,0.0007173295785338762,0.007743884363894615,58.376639327586524,9,0.1482608605368938,58.52490018812342
0.022416489551388308,0.0009245573409116803,0.006028572160453494,58.355317573155084,10,0.7439766438561719,59.099294217011256
0.005869323665223192,0.0014204072003841661,0.00942378903620078,58.611726621397644,11,0.0833265616291925,58.695053183026836
0.014114526391934334,0.0008566095176281152,0.010486114479183462,58.60848901230852,12,0.382328341172979,58.990817353481496
0.01183515545499425,0.0008836832550964679,0.011139101239642013,59.25600710504413,13,0.3262530196851188,59.582260124729245
0.021246992806872922,0.0003671388747268356,0.010861845436240358,57.80313573073539,14,0.6361258189272192,58.43926154966261
0.02394005831543522,0.001733186031117273,0.010784392823425248,58.55651423721198,15,0.8010078897356934,59.35752212694767
0.014007668429183662,0.0011511033056204045,0.0063268505046951695,58.731181978713856,16,0.4126987304122949,59.14388070912615
0.01683112903628836,-0.00013184925544318382,0.011924170879223095,58.62538310143051,17,0.4637961100198993,59.08917921145041
0.02432944300959272,0.0006875452058056064,0.01222244922346477,58.06590677019883,18,0.7398057218214831,58.80571249202031
0.005630039388227148,-0.00018837036912389138,0.011903148338382963,58.952783480717265,19,0.04446077894969136,58.99724425966696
0.0411437784823544,0.0010590004022861255,0.0073537684165429495,56.95908015697482,20,1.4325152941183745,58.391595451093195
0.014845150916972583,0.0016562210428658908,0.005264525061712544,58.37333730522383,21,0.4913465120210603,58.86468381724489
0.015152795281775377,0.00011212178045683086,0.009757474911577413,58.7204074425732,22,0.44816233425036955,59.16856977682357
0.016465993458314676,0.00033090833785986984,0.010208858675781862,58.95930571073706,23,0.4644397736095698,59.42374548434663
0.025537783275248582,0.0010094627144546786,0.0059931646293185925,57.61834338749028,24,0.8577781105163851,58.47612149800666
0.015927274244489698,0.001049955735216268,0.01015242860380694,58.52282264248729,25,0.48936191133133633,59.01218455381863
0.007837002992142739,0.0002311026162006291,0.012201426682624639,59.8384782543784,26,0.12267187847228911,59.96115013285069
0.004511476210359633,0.0013527439048316436,0.007708476832759603,57.710624776234276,27,0.04966551992691137,57.76029029616119
0.013558956146240031,0.0006882666226172285,0.00912551069195916,57.472756802964064,28,0.3460270340954068,57.81878383705947
0.015859075043019533,0.0014204072003841661,0.009423789036200891,59.17470887912933,29,0.4873526871610565,59.66206156629038
0.023716736792221416,-0.0005388811958062512,0.011625892534981475,57.593864100629574,30,0.743001554833981,58.336865655463555
0.02434109090501768,0.0008122058737879412,0.0056738637442366735,57.399893570743885,31,0.76999523173086,58.169888802474745
0.014007668429183662,-0.0005489825869293696,0.015451470634093079,58.77781569077871,32,0.32537129155703326,59.10318698233574
0.014409748568439351,0.0008566095176281152,0.010486114479183462,58.75575804647391,33,0.3629262109080287,59.118684257381936
0.01524921424346104,0.0005246429205105763,0.008472523931500664,58.25524853319164,34,0.4437270074471442,58.698975540638784
0.009970730329948996,0.0010315184019118462,0.008042162708136236,58.97163515014881,35,0.25063373017525237,59.222268880324066
0.03020274431689063,0.0014204072003841661,0.00942378903620078,57.96437134087793,36,0.9927009233698811,58.95707226424781
0.02155422114621608,0.0005096132717892221,0.007764906904734636,57.509682442272656,37,0.6316711262448322,58.14135356851749
0.005032351906035792,0.0008100392244764221,0.008770802275742395,58.04403515077568,38,0.06330213939002505,58.1073372901657
0.021275808381707284,0.0017918738720990035,0.008340441052378023,58.71953294573162,39,0.7355218203550677,59.45505476608669
0.022918220812918833,0.0011511033056204045,0.0063268505046951695,57.974906324835985,40,0.7602936576138006,58.735199982449785
0.013853969834613178,0.0007093070964591108,0.008806209806877352,57.88379200696217,41,0.4118245012929762,58.295616508255144
0.012780809358443168,0.0010487731747989004,0.010507137020023538,59.324093458911186,42,0.36208265052187016,59.686176109433056
0.0067076357210100745,-0.00036488118196964514,0.010542544551158606,58.50388475806585,43,0.0868918202557154,58.59077657832157
0.019861554436719553,0.0003309333422263361,0.00988955779070011,58.83738991286936,44,0.5629699538436768,59.40035986671304
0.004821156815296268,0.0010315184019118462,0.008042162708136236,59.923049237315574,45,0.05793299956693687,59.98098223688251
0.005080486550060992,0.0005990941761832014,0.006383280576670369,58.94605396390398,46,0.020303620553093538,58.96635758445707
0.023450309934563207,0.001733186031117273,0.010784392823425248,57.87763670453716,47,0.7904232516629008,58.66805995620006
0.014323842934680475,0.000759634266732534,0.014666400994511997,59.330808351825645,48,0.41586677081837564,59.74667512264402
0.005206045271938242,0.0003671388747268356,0.010861845436240358,57.75261840452015,49,0.03821308987534877,57.7908314943955
0.005049277950451181,0.000518662634406919,0.011235776587629698,59.51464810745338,50,0.07898862276508822,59.59363673021847
0.016865304336687537,0.0008496915561907459,0.00668155892091199,58.48433257367005,51,0.4824041790739457,58.966736752744
0.02352412883154964,0.0008884092039522784,0.008791824816582527,57.33995249780561,52,0.7753594939211794,58.11531199172679
0.014336940055823089,0.00036319962756625745,0.008827232347717373,59.225236093600905,53,0.3589263205283544,59.58416241412926
0.008686717550413836,0.0011502523611799376,0.008063185248976479,59.572924586761125,54,0.18057992137328682,59.75350450813441
