a2c_pointer_score,aggregation,full_minus_a2c_points,full_score,operational_floor,traditional_ppo_score
66.24992798977647,geometric,0.21717973719719907,66.46710772697367,0.0,52.56636836159772
70.31320683548427,arithmetic,0.24493419422486795,70.55814102970913,0.0,61.59818950185869
61.90774600741031,geometric,0.4129969479569837,62.320742955367294,0.2,41.64586256702615
67.33961903331671,arithmetic,0.3483020305603617,67.68792106387707,0.2,57.707881715980214
50.51177935055049,geometric,1.2027993728619535,51.714578723412444,0.4,0.0
62.38363936303748,arithmetic,0.5205817577861751,62.90422112082366,0.4,55.63602816888631
0.0,geometric,0.0,0.0,0.6,0.0
58.56637464096326,arithmetic,0.40886567763984516,58.975240318603106,0.6,54.87433193064315
0.0,geometric,0.0,0.0,0.8,0.0
54.925191237772076,arithmetic,0.9862685063967831,55.91145974416886,0.8,52.58924321591366
