aggregation,first_place_share,grid_count,maximum_score,mean_rank,mean_score,minimum_score,model
arithmetic,0.5388933440256616,1247,0.7703810621004059,1.4611066559743384,0.6614741638984285,0.5685433490605504,a2c_pointer
arithmetic,0.4611066559743384,1247,0.7714355658900195,1.5388933440256616,0.6613649823395639,0.5685353109243109,full
arithmetic,0.0,1247,0.7152064036178684,3.0,0.5753137053829117,0.4509267752267843,traditional_ppo
geometric,0.7121090617481957,1247,0.7316086817593326,1.2878909382518042,0.6238951163500781,0.5376101402072132,a2c_pointer
geometric,0.28789093825180434,1247,0.7319077577068629,1.7121090617481958,0.6233055536513868,0.5374783163688456,full
geometric,0.0,1247,0.6335592370430396,3.0,0.500901064013235,0.39604427124669767,traditional_ppo
