aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,7,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6200361225969456,0.2,0.1,0.1,0.15,0.15,0.1,0.2
arithmetic,7,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6548319280892665,0.2,0.1,0.1,0.15,0.15,0.1,0.2
geometric,7,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5025713160355725,0.2,0.1,0.1,0.15,0.15,0.1,0.2
arithmetic,7,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5799969511015696,0.2,0.1,0.1,0.15,0.15,0.1,0.2
geometric,8,1.0,full,1,core_learning_training_corrected_v6,0.6436627033265113,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,1.0,full,1,core_learning_training_corrected_v6,0.6819010466526206,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,8,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.643247555611758,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6807826135615003,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,8,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5366578548270428,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6163333497523753,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,9,0.0,full,2,core_learning_training_corrected_v6,0.6671506640418012,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,1.0,full,1,core_learning_training_corrected_v6,0.7074298699213873,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.6673279228756663,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7067332990337342,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5730562886465614,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6526697484031809,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,10,1.0,full,1,core_learning_training_corrected_v6,0.645211852627146,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,1.0,full,1,core_learning_training_corrected_v6,0.6850580131639489,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6446602449587717,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.68448542372435,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.514776549769873,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5995073415464802,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,11,0.0,full,2,core_learning_training_corrected_v6,0.6236563230282917,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,1.0,full,1,core_learning_training_corrected_v6,0.6604534197073301,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.6236582610976206,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6603353535915617,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5033425171592145,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5815148695879714,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,12,0.0,full,2,core_learning_training_corrected_v6,0.6464142288995286,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,full,2,core_learning_training_corrected_v6,0.685982242976097,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.647005291091568,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.6862860390637957,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.537481362113369,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6178512682387773,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,13,1.0,full,1,core_learning_training_corrected_v6,0.664852340304801,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,1.0,full,1,core_learning_training_corrected_v6,0.7058332894232674,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6632113011533763,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7041166039941339,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5251752442279152,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6151100730362653,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,14,1.0,full,1,core_learning_training_corrected_v6,0.6426406524042233,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,1.0,full,1,core_learning_training_corrected_v6,0.6812286959666487,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6416049540080718,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6799665338613459,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5135102395351082,0.2,0.1,0.15,0.1,0.1,0.15,0.2
