environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
14737,1724.0,,full,,,seed,0.4924721277399848,46
16145,1884.0,,full,,,seed,0.4910017479213907,46
17145,2000.0,,full,,,seed,0.4985780423280422,46
17459,2032.0,,full,,,seed,0.4996232520786091,46
18947,2192.0,,full,,,seed,0.49979332010581995,46
20509,2352.0,,full,,,seed,0.499747260015117,46
21800,2500.0,,full,,,seed,0.4995582955404383,46
23270,2660.0,,full,,,seed,0.4942082388510958,46
24729,2820.0,,full,,,seed,0.4953774565381708,46
26144,2980.0,,full,,,seed,0.49518376795162494,46
26342,3000.0,,full,,,seed,0.5026088907785334,46
,16.0,0.37069397203325755,full,0.36870630196523063,0.40747354497354504,summary,,
,160.0,0.46750755857898696,full,0.46271612811791357,0.4715726568405139,summary,,
,250.0,0.4833416005291005,full,0.46969364134542696,0.4900770030234316,summary,,
,314.0,0.4822845804988663,full,0.47538029100529083,0.4899270124716554,summary,,
,474.0,0.48543320105820115,full,0.4837679516250944,0.4904006046863191,summary,,
,500.0,0.48608867157974284,full,0.48473048941798935,0.4926032218442933,summary,,
,628.0,0.48773266250944797,full,0.4862516534391533,0.49283234126984116,summary,,
,788.0,0.4822704081632652,full,0.48200113378684784,0.49541524943310633,summary,,
,948.0,0.4938480253212396,full,0.48689885676492795,0.49430154006046856,summary,,
,1000.0,0.49228788737717294,full,0.49000377928949346,0.4950479497354498,summary,,
,1096.0,0.4953231292517007,full,0.4893979119425546,0.4990634448223733,summary,,
,1256.0,0.4951755007558581,full,0.4942731953892667,0.4973013510959939,summary,,
,1416.0,0.4971206538170825,full,0.49700018896447457,0.4971867913832198,summary,,
,1500.0,0.4929043839758123,full,0.49241189531368096,0.493791335978836,summary,,
,1564.0,0.4919867252456538,full,0.4889160525321238,0.49390353363567635,summary,,
,1724.0,0.4924721277399848,full,0.48862551965230544,0.4968348450491306,summary,,
,1884.0,0.4935681216931216,full,0.4910017479213907,0.49574593726379423,summary,,
,2000.0,0.4956857048374904,full,0.4952227418745275,0.4985780423280422,summary,,
,2032.0,0.496580924036281,full,0.4949841742252458,0.4996232520786091,summary,,
,2192.0,0.49979332010581995,full,0.489888038548753,0.500090939153439,summary,,
,2352.0,0.49545422335600897,full,0.48850741685563126,0.49891345427059697,summary,,
,2500.0,0.49550500755857885,full,0.4944444444444446,0.4968348450491308,summary,,
,2660.0,0.4971785241874529,full,0.4961108749055178,0.4981079931972789,summary,,
,2820.0,0.4986748866213152,full,0.49850599962207104,0.5012861394557822,summary,,
,2980.0,0.49518376795162494,full,0.49439720332577475,0.4985933956916099,summary,,
,3000.0,0.49703916288737704,full,0.49417280801209373,0.5005113851095994,summary,,
66,16.0,,a2c_pointer,,,seed,0.28245346749811023,42
865,160.0,,a2c_pointer,,,seed,0.4157159391534393,42
1438,250.0,,a2c_pointer,,,seed,0.4338175547996977,42
1828,314.0,,a2c_pointer,,,seed,0.4379109977324264,42
2889,474.0,,a2c_pointer,,,seed,0.44500543272864695,42
3065,500.0,,a2c_pointer,,,seed,0.44788359788359783,42
3947,628.0,,a2c_pointer,,,seed,0.4521837207105064,42
5093,788.0,,a2c_pointer,,,seed,0.46711663832199546,42
6386,948.0,,a2c_pointer,,,seed,0.4806642101284958,42
6804,1000.0,,a2c_pointer,,,seed,0.47582317649281936,42
7532,1096.0,,a2c_pointer,,,seed,0.4822030895691611,42
8821,1256.0,,a2c_pointer,,,seed,0.4858335695389267,42
10189,1416.0,,a2c_pointer,,,seed,0.4955628779289494,42
10935,1500.0,,a2c_pointer,,,seed,0.49982520786092216,42
11472,1564.0,,a2c_pointer,,,seed,0.4971005763416477,42
12976,1724.0,,a2c_pointer,,,seed,0.4963990457294027,42
14504,1884.0,,a2c_pointer,,,seed,0.49499834656084646,42
15586,2000.0,,a2c_pointer,,,seed,0.4991803665910807,42
15894,2032.0,,a2c_pointer,,,seed,0.4999279572940285,42
17451,2192.0,,a2c_pointer,,,seed,0.5012011054421766,42
18995,2352.0,,a2c_pointer,,,seed,0.5002137660619803,42
20345,2500.0,,a2c_pointer,,,seed,0.4971702569916855,42
21715,2660.0,,a2c_pointer,,,seed,0.4973403250188963,42
23225,2820.0,,a2c_pointer,,,seed,0.5011467781557065,42
24696,2980.0,,a2c_pointer,,,seed,0.5014207766439908,42
24893,3000.0,,a2c_pointer,,,seed,0.4980536659108087,42
78,16.0,,a2c_pointer,,,seed,0.2839557350718065,43
900,160.0,,a2c_pointer,,,seed,0.4258125472411187,43
1443,250.0,,a2c_pointer,,,seed,0.44974962207105057,43
1859,314.0,,a2c_pointer,,,seed,0.45584845049130757,43
2941,474.0,,a2c_pointer,,,seed,0.4720545162509448,43
3116,500.0,,a2c_pointer,,,seed,0.4719458616780045,43
4012,628.0,,a2c_pointer,,,seed,0.46695483749055167,43
5216,788.0,,a2c_pointer,,,seed,0.474284297052154,43
6527,948.0,,a2c_pointer,,,seed,0.492594954648526,43
7008,1000.0,,a2c_pointer,,,seed,0.48902352607709737,43
7914,1096.0,,a2c_pointer,,,seed,0.4966695011337868,43
9272,1256.0,,a2c_pointer,,,seed,0.4958286092214663,43
10694,1416.0,,a2c_pointer,,,seed,0.4926575491307634,43
11401,1500.0,,a2c_pointer,,,seed,0.49226780990173835,43
11971,1564.0,,a2c_pointer,,,seed,0.4927000661375661,43
13350,1724.0,,a2c_pointer,,,seed,0.4946180555555555,43
14840,1884.0,,a2c_pointer,,,seed,0.50021022297808,43
15848,2000.0,,a2c_pointer,,,seed,0.4980808295540437,43
16148,2032.0,,a2c_pointer,,,seed,0.4996468726379439,43
17677,2192.0,,a2c_pointer,,,seed,0.49783753779289475,43
19240,2352.0,,a2c_pointer,,,seed,0.5009507275132276,43
20582,2500.0,,a2c_pointer,,,seed,0.49989016439909273,43
22075,2660.0,,a2c_pointer,,,seed,0.4986748866213151,43
23617,2820.0,,a2c_pointer,,,seed,0.49387282690854123,43
24976,2980.0,,a2c_pointer,,,seed,0.4947361583522298,43
25165,3000.0,,a2c_pointer,,,seed,0.49473615835222984,43
76,16.0,,a2c_pointer,,,seed,0.24593962585034018,44
910,160.0,,a2c_pointer,,,seed,0.4129228080120938,44
1466,250.0,,a2c_pointer,,,seed,0.43578632842025694,44
1845,314.0,,a2c_pointer,,,seed,0.44306854686318986,44
2843,474.0,,a2c_pointer,,,seed,0.4557350718065003,44
3009,500.0,,a2c_pointer,,,seed,0.4574097694633409,44
3891,628.0,,a2c_pointer,,,seed,0.47474253590325016,44
5141,788.0,,a2c_pointer,,,seed,0.49439011715797426,44
6488,948.0,,a2c_pointer,,,seed,0.49506802721088417,44
6938,1000.0,,a2c_pointer,,,seed,0.49431216931216926,44
7785,1096.0,,a2c_pointer,,,seed,0.5003873771730912,44
9335,1256.0,,a2c_pointer,,,seed,0.4999090608465607,44
10883,1416.0,,a2c_pointer,,,seed,0.4943239795918367,44
11729,1500.0,,a2c_pointer,,,seed,0.5025628306878306,44
12296,1564.0,,a2c_pointer,,,seed,0.5048575680272106,44
13774,1724.0,,a2c_pointer,,,seed,0.49663052721088413,44
15253,1884.0,,a2c_pointer,,,seed,0.4984280517762659,44
16285,2000.0,,a2c_pointer,,,seed,0.4977796674225245,44
16591,2032.0,,a2c_pointer,,,seed,0.49827688019652294,44
18018,2192.0,,a2c_pointer,,,seed,0.5016569822373393,44
19502,2352.0,,a2c_pointer,,,seed,0.5010239512471655,44
20796,2500.0,,a2c_pointer,,,seed,0.4999740173847316,44
22320,2660.0,,a2c_pointer,,,seed,0.5020372732426301,44
23854,2820.0,,a2c_pointer,,,seed,0.5055945294784577,44
25356,2980.0,,a2c_pointer,,,seed,0.5036848072562357,44
25539,3000.0,,a2c_pointer,,,seed,0.503352938397581,44
70,16.0,,a2c_pointer,,,seed,0.042664635298563874,45
903,160.0,,a2c_pointer,,,seed,0.4224289021164022,45
1476,250.0,,a2c_pointer,,,seed,0.4385251322751323,45
1853,314.0,,a2c_pointer,,,seed,0.4493835034013606,45
2917,474.0,,a2c_pointer,,,seed,0.464905753968254,45
3102,500.0,,a2c_pointer,,,seed,0.4634318310657597,45
3990,628.0,,a2c_pointer,,,seed,0.4747307256235826,45
5215,788.0,,a2c_pointer,,,seed,0.4876381802721088,45
6565,948.0,,a2c_pointer,,,seed,0.49796863189720325,45
7004,1000.0,,a2c_pointer,,,seed,0.49767928004535134,45
7839,1096.0,,a2c_pointer,,,seed,0.49654549319727875,45
9234,1256.0,,a2c_pointer,,,seed,0.4849655139833712,45
10627,1416.0,,a2c_pointer,,,seed,0.49666950113378666,45
11339,1500.0,,a2c_pointer,,,seed,0.49771471088435365,45
11867,1564.0,,a2c_pointer,,,seed,0.4989677815570672,45
13264,1724.0,,a2c_pointer,,,seed,0.49830050075585774,45
