record_type,model,training_seed,episodes_seen,mean_weighted_coverage,median,q25,q75,source_path,source_sha256
seed,full,42,474,0.399234693877551,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,490,0.513671875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,500,0.4375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,516,0.436224489795918,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,532,0.431640625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,548,0.49375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,564,0.450255102040816,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,580,0.4453125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,596,0.4265625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,612,0.42219387755102,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,628,0.439453125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,644,0.4515625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,660,0.431122448979592,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,676,0.544921875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,692,0.4578125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,708,0.455357142857143,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,724,0.4765625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,740,0.425,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,756,0.468112244897959,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,772,0.494140625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,788,0.4296875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,804,0.438775510204082,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,820,0.498046875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,836,0.4765625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,852,0.487244897959184,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,868,0.505859375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,884,0.4984375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,900,0.403061224489796,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,916,0.482421875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,932,0.434375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,948,0.496173469387755,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,964,0.458984375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,980,0.503125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,996,0.441326530612245,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1000,0.5546875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1016,0.4140625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1032,0.396683673469388,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1048,0.439453125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1064,0.44375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1080,0.463010204081633,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1096,0.439453125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1112,0.45625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1128,0.432397959183673,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1144,0.517578125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1160,0.5046875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1176,0.423469387755102,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1192,0.38671875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1208,0.475,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1224,0.378826530612245,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1240,0.44140625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1256,0.525,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1272,0.423469387755102,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
