bootstrap_ci_high,bootstrap_ci_low,comparator,hodges_lehmann,map_count,mean_difference,median_difference,metric,p_holm,p_value,rank_biserial,reference,significant_holm,statistical_family,wilcoxon_statistic
0.23926624208711259,0.19578032289304612,traditional_ppo,0.21707766439909298,24,0.21716021825396825,0.21571286848072566,safe_weighted_coverage,9.5367431640625e-07,1.1920928955078125e-07,1.0,full,True,synthetic_main_algorithms,0.0
0.006894386574074073,-0.005683351639266818,a2c_pointer,0.0011897675736961821,24,0.0007853835978836043,0.001982709750566969,safe_weighted_coverage,0.8446829319000244,0.4223414659500122,0.19333333333333333,full,False,synthetic_main_algorithms,121.0
0.051866198389077856,0.01456229332010582,nearest_feasible,0.030333758503401323,24,0.03187818877551019,0.01638180272108844,safe_weighted_coverage,3.337860107421875e-05,8.344650268554688e-06,0.92,full,True,synthetic_main_algorithms,12.0
0.059531350387377155,0.01339927012471656,priority_resource_greedy,0.030445011337868477,24,0.03488685752078608,0.030467687074829913,safe_weighted_coverage,0.00010979175567626953,3.6597251892089844e-05,0.8733333333333333,full,True,synthetic_main_algorithms,19.0
-0.05335354367441421,-0.08137690145502645,aco,-0.06584183673469388,24,-0.0667068216175359,-0.0598681972789116,safe_weighted_coverage,9.5367431640625e-07,1.1920928955078125e-07,-1.0,full,True,synthetic_main_algorithms,0.0
0.014650589923469388,-0.016859850363756614,ga,-0.00039186507936503356,24,-0.0011543367346938786,0.0009056122448979076,safe_weighted_coverage,0.9218088388442993,0.9218088388442993,-0.02666666666666667,full,False,synthetic_main_algorithms,146.0
-0.043202298280423275,-0.07289607839663645,sa,-0.05580498866213153,24,-0.05782619992441421,-0.04957199546485258,safe_weighted_coverage,9.5367431640625e-07,1.1920928955078125e-07,-1.0,full,True,synthetic_main_algorithms,0.0
-0.07221210081254724,-0.09990404147770221,milp,-0.0839321145124717,24,-0.08526974678760396,-0.08070719954648528,safe_weighted_coverage,9.5367431640625e-07,1.1920928955078125e-07,-1.0,full,True,synthetic_main_algorithms,0.0
0.00868793107520786,-0.0065778267904384,no_priority_bias,0.0013279478458049776,24,0.0010156840513983283,0.0024631519274376235,safe_weighted_coverage,1.0,0.5838061571121216,0.13333333333333333,full,False,synthetic_ablations,130.0
0.00949254771352984,-0.0070596301020408245,no_domain_randomization,0.0012223639455782725,24,0.001194373582766461,0.001466836734693916,safe_weighted_coverage,1.0,0.5838061571121216,0.13333333333333333,full,False,synthetic_ablations,130.0
0.008313066893424035,-0.0049895390447845835,no_resource_shaping,0.0018105158730159082,24,0.0017688255857898696,0.0019132653061224025,safe_weighted_coverage,0.5064289569854736,0.1688096523284912,0.32666666666666666,full,False,synthetic_ablations,101.0
0.40184171272675745,0.34340343620086927,no_return_reserve,0.3714682539682539,24,0.3724521683673469,0.37328939909297054,safe_weighted_coverage,4.76837158203125e-07,1.1920928955078125e-07,1.0,full,True,synthetic_ablations,0.0
0.26182088382227886,0.21230876647534017,traditional_ppo,0.24027317176870747,8,0.23663371598639454,0.2420705782312925,safe_weighted_coverage,0.046875,0.0078125,1.0,full,True,real_main_algorithms,0.0
0.008957633574263026,-0.00903915550595238,a2c_pointer,0.0004956774376417145,8,-1.2755102040851174e-05,0.0009679705215419332,safe_weighted_coverage,0.7421875,0.7421875,0.16666666666666666,full,False,real_main_algorithms,15.0
0.04107517981150793,-0.0007226208191609987,nearest_feasible,0.01503897392290246,8,0.018098249716553286,0.01496173469387757,safe_weighted_coverage,0.078125,0.0390625,0.8333333333333334,full,False,real_main_algorithms,3.0
0.05614497856434239,0.014249003507653058,priority_resource_greedy,0.03354662698412689,8,0.03453107284580495,0.032657312925169935,safe_weighted_coverage,0.046875,0.015625,0.9444444444444444,full,True,real_main_algorithms,1.0
-0.045606314661281185,-0.07060999946853742,aco,-0.05767325680272109,8,-0.057486181972789104,-0.05717403628117912,safe_weighted_coverage,0.046875,0.0078125,-1.0,full,True,real_main_algorithms,0.0
-0.06578550170068029,-0.09557618073270975,milp,-0.08305520124716548,8,-0.08049248866213152,-0.08325680272108837,safe_weighted_coverage,0.046875,0.0078125,-1.0,full,True,real_main_algorithms,0.0
0.008525727217970529,-0.009738236961451253,no_priority_bias,-0.0005991354875282962,8,-0.0006253543083900165,-0.0010196995464852865,safe_weighted_coverage,1.0,0.640625,-0.2222222222222222,full,False,real_ablations,14.0
0.012116651608560083,-0.008755000177154186,no_domain_randomization,0.0002306547619047583,8,0.000929528061224455,0.0001381802721087677,safe_weighted_coverage,1.0,0.9453125,0.05555555555555555,full,False,real_ablations,17.0
0.008189683425453512,-0.008274575715702942,no_resource_shaping,-0.00021187641723365014,8,9.47774943310456e-05,-0.00025935374149674284,safe_weighted_coverage,1.0,0.7421875,-0.16666666666666666,full,False,real_ablations,15.0
0.4244682893990929,0.3562892972293084,no_return_reserve,0.39327841553287973,8,0.390374858276644,0.3958538832199546,safe_weighted_coverage,0.03125,0.0078125,1.0,full,True,real_ablations,0.0
0.27503951424319717,0.16548622183248302,traditional_ppo,0.20912627551020407,8,0.21801392431972788,0.2023511904761905,safe_weighted_coverage,0.03125,0.0078125,1.0,full,True,known_domain_shift,0.0
0.017168779230442157,-0.016537242240646274,a2c_pointer,-0.0006090561224489782,8,-0.0007557397959183781,0.0005463435374149783,safe_weighted_coverage,0.9453125,0.9453125,-0.05555555555555555,full,False,known_domain_shift,17.0
