condition,constraint_type,coverage,dangerous_action_proposal_rate,difficulty,environment_interception_rate,family,high_priority_coverage,low_priority_coverage,map_id,medium_priority_coverage,model,node_count,oracle_attainment_lower,oracle_attainment_upper,oracle_regret_lower,oracle_regret_upper,planner_seed,planning_time_s,priority_layout,return_rate,road_index,robustness_drop,safe_distance_utilization,safe_energy_utilization,safe_rate,safe_time_utilization,safe_weighted_coverage,stranded_rate,task_id,task_index,termination_reason,training_seed,violation_rate,visited_count,weighted_coverage
nominal,energy,0.625,0.0,moderate,0.0,synthetic_learning,1.0,0.2,synthetic_test__map_000,0.6666666666666666,full,16,0.96,0.96,0.03125,0.03125,,0.9913808000000017,clustered,1.0,,,0.8907253179352191,0.9835616772112844,1.0,0.35517352013345627,0.75,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,42,0.0,10,0.75
nominal,energy,0.625,0.0,moderate,0.0,synthetic_learning,1.0,0.2,synthetic_test__map_000,0.6666666666666666,full,16,0.96,0.96,0.03125,0.03125,,1.1678271999999765,clustered,1.0,,,0.8548057578087637,0.9705848875134703,1.0,0.34860489741182826,0.75,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,43,0.0,10,0.75
nominal,energy,0.625,0.0,moderate,0.0,synthetic_learning,1.0,0.0,synthetic_test__map_000,0.8333333333333334,full,16,1.0,1.0,0.0,0.0,,1.0978689000000372,clustered,1.0,,,0.8414663669233718,0.9923087098964137,1.0,0.3526521398731813,0.78125,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,44,0.0,10,0.78125
nominal,energy,0.625,0.0,moderate,0.0,synthetic_learning,1.0,0.2,synthetic_test__map_000,0.6666666666666666,full,16,0.96,0.96,0.03125,0.03125,,0.842638099999931,clustered,1.0,,,0.8907253179352191,0.9835616772112844,1.0,0.35517352013345627,0.75,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,45,0.0,10,0.75
nominal,energy,0.625,0.0,moderate,0.0,synthetic_learning,1.0,0.0,synthetic_test__map_000,0.8333333333333334,full,16,1.0,1.0,0.0,0.0,,0.8139701999999716,clustered,1.0,,,0.8414663669233718,0.9923087098964137,1.0,0.3526521398731813,0.78125,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,46,0.0,10,0.78125
nominal,energy,0.4375,0.0,moderate,0.0,synthetic_learning,0.4,0.2,synthetic_test__map_000,0.6666666666666666,traditional_ppo,16,0.6,0.6,0.3125,0.3125,,0.634072700000047,clustered,1.0,,,0.9188209062488122,0.9872942965881021,1.0,0.3543308008272256,0.46875,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,42,0.0,7,0.46875
nominal,energy,0.4375,0.0,moderate,0.0,synthetic_learning,0.4,0.2,synthetic_test__map_000,0.6666666666666666,traditional_ppo,16,0.6,0.6,0.3125,0.3125,,0.8306835000000774,clustered,1.0,,,0.8487235537205833,0.9445755145495485,1.0,0.3365041100767464,0.46875,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,43,0.0,7,0.46875
nominal,energy,0.4375,0.0,moderate,0.0,synthetic_learning,0.4,0.2,synthetic_test__map_000,0.6666666666666666,traditional_ppo,16,0.6,0.6,0.3125,0.3125,,0.5817829999998594,clustered,1.0,,,0.90533873807534,0.9995641523909676,1.0,0.35618761279503136,0.46875,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,44,0.0,7,0.46875
nominal,energy,0.4375,0.0,moderate,0.0,synthetic_learning,0.6,0.2,synthetic_test__map_000,0.5,traditional_ppo,16,0.64,0.64,0.28125,0.28125,,0.5829702000000907,clustered,1.0,,,0.8944691836086467,0.9856340602450149,1.0,0.35126303273935977,0.5,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,45,0.0,7,0.5
nominal,energy,0.5,0.0,moderate,0.0,synthetic_learning,0.6,0.0,synthetic_test__map_000,0.8333333333333334,traditional_ppo,16,0.76,0.76,0.1875,0.1875,,0.558119099999999,clustered,1.0,,,0.7977312346200457,0.8929704904762356,1.0,0.32009783476377746,0.59375,0.0,synthetic_test__synthetic_test__map_000__task_00,0,returned_partial,46,0.0,8,0.59375
