algorithm,map_id,safe_weighted_coverage,statistical_family
nearest_feasible,synthetic_test__map_011,0.4557256235827664,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_012,0.4080924036281179,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_013,0.42725340136054424,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_014,0.41050170068027214,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_015,0.4643849206349206,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_016,0.5089143990929705,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_017,0.46641156462585026,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_018,0.3986536281179138,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_019,0.4528486394557823,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_020,0.4833191609977324,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_021,0.46275510204081627,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_022,0.4660997732426304,synthetic_main_algorithms
nearest_feasible,synthetic_test__map_023,0.5242346938775511,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_000,0.492063492063492,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_001,0.3809807256235828,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_002,0.4611394557823129,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_003,0.4342120181405896,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_004,0.4748015873015873,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_005,0.4448554421768708,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_006,0.41215986394557824,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_007,0.4636054421768707,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_008,0.46628401360544214,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_009,0.47613378684807256,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_010,0.43613945578231295,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_011,0.48415532879818596,synthetic_main_algorithms
