algorithm,mean,median,metric,q25,q75,result_family,valid_run_count
a2c_pointer,0.8528884869087858,0.8713813068651779,oracle_attainment_upper,0.7857142857142857,0.9297619047619048,synthetic_learning,1080
a2c_pointer,0.08374976379440666,0.07499999999999996,oracle_regret_lower,0.040816326530612235,0.125,synthetic_learning,1080
a2c_pointer,0.10667292611489027,0.0937500000000197,oracle_regret_upper,0.050000000000000044,0.15000000000000002,synthetic_learning,1080
a2c_pointer,0.6450941690092904,0.6086504578415255,safe_energy_utilization,0.4154012852496543,0.9244601579166447,synthetic_learning,1080
a2c_pointer,0.7697275489706275,0.8458920178294758,safe_distance_utilization,0.6005642648216281,0.9453919140672085,synthetic_learning,1080
a2c_pointer,0.5644695990988065,0.4334522213000494,safe_time_utilization,0.2658785526298801,0.9183495442932353,synthetic_learning,1080
a2c_pointer,0.0,0.0,dangerous_action_proposal_rate,0.0,0.0,synthetic_learning,1080
a2c_pointer,0.0,0.0,environment_interception_rate,0.0,0.0,synthetic_learning,1080
a2c_pointer,1.1271706372222219,1.062330650000007,planning_time_s,0.7455729999999932,1.4269670249999677,synthetic_learning,1080
no_priority_bias,0.4847823365457295,0.48239795918367345,safe_weighted_coverage,0.35,0.6122448979591837,synthetic_learning,1080
no_priority_bias,1.0,1.0,safe_rate,1.0,1.0,synthetic_learning,1080
no_priority_bias,1.0,1.0,return_rate,1.0,1.0,synthetic_learning,1080
no_priority_bias,0.0,0.0,violation_rate,0.0,0.0,synthetic_learning,1080
no_priority_bias,0.0,0.0,stranded_rate,0.0,0.0,synthetic_learning,1080
no_priority_bias,0.4403086419753086,0.44375,coverage,0.3125,0.55,synthetic_learning,1080
no_priority_bias,0.4847823365457295,0.48239795918367345,weighted_coverage,0.35,0.6122448979591837,synthetic_learning,1080
no_priority_bias,8.757407407407408,9.0,visited_count,6.0,11.0,synthetic_learning,1080
no_priority_bias,0.4807561728395062,0.5,high_priority_coverage,0.25,0.6666666666666666,synthetic_learning,1080
no_priority_bias,0.60625,0.625,medium_priority_coverage,0.4444444444444444,0.7777777777777778,synthetic_learning,1080
no_priority_bias,0.18565255731922398,0.14285714285714285,low_priority_coverage,0.0,0.3333333333333333,synthetic_learning,1080
no_priority_bias,0.8212299704755809,0.8333333333333383,oracle_attainment_lower,0.742857142857143,0.9062499999999999,synthetic_learning,1080
no_priority_bias,0.8529281054142908,0.875,oracle_attainment_upper,0.7916666666666666,0.9285714285714287,synthetic_learning,1080
no_priority_bias,0.08403675359032503,0.07499999999999996,oracle_regret_lower,0.03125,0.12244897959183676,synthetic_learning,1080
no_priority_bias,0.10690322656840501,0.093750000000003,oracle_regret_upper,0.050000000000000044,0.15000000000000002,synthetic_learning,1080
no_priority_bias,0.644367905246729,0.6086504578415255,safe_energy_utilization,0.41776404591339467,0.914894787621072,synthetic_learning,1080
no_priority_bias,0.7671299856442766,0.8458920178294758,safe_distance_utilization,0.6041843975428348,0.9463695864329277,synthetic_learning,1080
no_priority_bias,0.5640732609489332,0.43866577358988545,safe_time_utilization,0.26846147848106194,0.912455931087216,synthetic_learning,1080
no_priority_bias,0.0,0.0,dangerous_action_proposal_rate,0.0,0.0,synthetic_learning,1080
no_priority_bias,0.0,0.0,environment_interception_rate,0.0,0.0,synthetic_learning,1080
no_priority_bias,1.184786718703706,1.0905371999999716,planning_time_s,0.793727825000019,1.5077116249998994,synthetic_learning,1080
no_domain_randomization,0.4846036470143613,0.475,safe_weighted_coverage,0.3469387755102041,0.6122448979591837,synthetic_learning,1080
no_domain_randomization,1.0,1.0,safe_rate,1.0,1.0,synthetic_learning,1080
no_domain_randomization,1.0,1.0,return_rate,1.0,1.0,synthetic_learning,1080
no_domain_randomization,0.0,0.0,violation_rate,0.0,0.0,synthetic_learning,1080
no_domain_randomization,0.0,0.0,stranded_rate,0.0,0.0,synthetic_learning,1080
no_domain_randomization,0.44767361111111115,0.45,coverage,0.3125,0.55,synthetic_learning,1080
no_domain_randomization,0.4846036470143613,0.475,weighted_coverage,0.3469387755102041,0.6122448979591837,synthetic_learning,1080
