task_id,map_id,model,seed,task_hash,map_hash,vertical_exaggeration,element_type,element_id,sequence,raw_x_grid,raw_y_grid,raw_z_m,display_x_m,display_y_m,display_z_m,priority,visited,note
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,16,241.38890075683594,86.11029052734375,550.4521484375,2163.3087158203125,738.33297729492188,565.67822265625,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,17,240.46871948242188,87.928985595703125,551.072021484375,2217.8695678710938,765.93841552734375,566.6080322265625,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,18,239.99711608886719,90.4320068359375,550.5443115234375,2292.960205078125,780.08651733398438,565.81646728515625,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,19,239.38677978515625,94.8133544921875,550.42401123046875,2424.400634765625,798.3966064453125,565.63601684570312,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,20,239.42453002929688,102.33802032470703,546.93255615234375,2650.1406097412109,797.26409912109375,560.39883422851562,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,21,240.402099609375,105.74021911621094,543.46185302734375,2752.2065734863281,767.93701171875,555.19277954101562,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,22,246.08035278320312,114.99066162109375,539.3460693359375,3029.7198486328125,597.58941650390625,549.01910400390625,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,23,248.38969421386719,118.91461181640625,540.69073486328125,3147.4383544921875,528.30917358398438,551.03610229492188,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,0,239.73080444335938,103.40394592285156,543.31573486328125,2682.1183776855469,788.07586669921875,554.97360229492188,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,1,239.73080444335938,103.40394592285156,561.73541259765625,2682.1183776855469,788.07586669921875,582.60311889648438,,,正式结果原始flight_path；仅显示z使用1.5倍比例
