aggregation,first_place_share,grid_count,maximum_score,mean_rank,mean_score,minimum_score,model,scope
arithmetic,0.040096230954290296,1247,0.7934032730571402,1.9599037690457097,0.710104067770711,0.6070769492140511,a2c_pointer,core_learning_training_aware
arithmetic,0.9599037690457097,1247,0.7993620825334937,1.0400962309542903,0.712734605979136,0.6060408133026822,full,core_learning_training_aware
arithmetic,0.0,1247,0.7091776147852622,3.0,0.5647234499588671,0.43291834434009024,traditional_ppo,core_learning_training_aware
geometric,0.32959101844426625,1247,0.7569445531738679,1.6704089815557337,0.6706171974332065,0.5730105242485208,a2c_pointer,core_learning_training_aware
geometric,0.6704089815557338,1247,0.7606871667924021,1.3295910184442663,0.6712291743692336,0.5708316723005996,full,core_learning_training_aware
geometric,0.0,1247,0.6200331035037193,3.0,0.4794356001006065,0.36553793376564947,traditional_ppo,core_learning_training_aware
