aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,7,0.0,a2c_pointer,2,core_learning_training_aware,0.7458365902880925,0.2,0.1,0.1,0.15,0.15,0.1,0.2
geometric,8,1.0,full,1,core_learning_training_aware,0.7119183630591369,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,1.0,full,1,core_learning_training_aware,0.7518587321406582,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,8,0.0,traditional_ppo,3,core_learning_training_aware,0.5048790040598328,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,0.0,traditional_ppo,3,core_learning_training_aware,0.6019110179207952,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,8,0.0,a2c_pointer,2,core_learning_training_aware,0.709720543758805,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,0.0,a2c_pointer,2,core_learning_training_aware,0.7470092136292865,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,9,1.0,full,1,core_learning_training_aware,0.7126718506878814,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,1.0,full,1,core_learning_training_aware,0.7528908319876648,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,traditional_ppo,3,core_learning_training_aware,0.5497519104207281,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,traditional_ppo,3,core_learning_training_aware,0.6422406305896301,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,a2c_pointer,2,core_learning_training_aware,0.7105895059503136,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,a2c_pointer,2,core_learning_training_aware,0.7481818369704806,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,10,1.0,full,1,core_learning_training_aware,0.7380143457550568,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,1.0,full,1,core_learning_training_aware,0.7783349271479991,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,traditional_ppo,3,core_learning_training_aware,0.47453893175060924,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,traditional_ppo,3,core_learning_training_aware,0.5802775657710401,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,a2c_pointer,2,core_learning_training_aware,0.7349817097215764,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,a2c_pointer,2,core_learning_training_aware,0.7727875571480648,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,11,1.0,full,1,core_learning_training_aware,0.7137819679691131,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,1.0,full,1,core_learning_training_aware,0.754319081154254,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,traditional_ppo,3,core_learning_training_aware,0.4641894346556981,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,traditional_ppo,3,core_learning_training_aware,0.5626922087754467,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,a2c_pointer,2,core_learning_training_aware,0.7120147439881679,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,a2c_pointer,2,core_learning_training_aware,0.7499887514028322,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,12,1.0,full,1,core_learning_training_aware,0.7145374280195808,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,1.0,full,1,core_learning_training_aware,0.7553511810012609,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,traditional_ppo,3,core_learning_training_aware,0.5054459116878735,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,traditional_ppo,3,core_learning_training_aware,0.6030218214442817,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,a2c_pointer,2,core_learning_training_aware,0.7128865151349428,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,a2c_pointer,2,core_learning_training_aware,0.7511613747440263,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,13,1.0,full,1,core_learning_training_aware,0.760479775682785,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,1.0,full,1,core_learning_training_aware,0.7991102034073175,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,traditional_ppo,3,core_learning_training_aware,0.4841248100543631,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,traditional_ppo,3,core_learning_training_aware,0.5958802972608251,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,a2c_pointer,2,core_learning_training_aware,0.756131900237704,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,a2c_pointer,2,core_learning_training_aware,0.7924187374178487,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,14,1.0,full,1,core_learning_training_aware,0.7355097553452248,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,1.0,full,1,core_learning_training_aware,0.7750943574135727,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,traditional_ppo,3,core_learning_training_aware,0.4735662489332595,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,traditional_ppo,3,core_learning_training_aware,0.5782949402652319,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,a2c_pointer,2,core_learning_training_aware,0.732504025947778,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,a2c_pointer,2,core_learning_training_aware,0.7696199316726162,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,15,1.0,full,1,core_learning_training_aware,0.7362882118793307,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,1.0,full,1,core_learning_training_aware,0.7761264572605794,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,traditional_ppo,3,core_learning_training_aware,0.5156561234837651,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,traditional_ppo,3,core_learning_training_aware,0.6186245529340668,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,a2c_pointer,2,core_learning_training_aware,0.7334008836043215,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,a2c_pointer,2,core_learning_training_aware,0.7707925550138103,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,16,1.0,full,1,core_learning_training_aware,0.7113596146883547,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,1.0,full,1,core_learning_training_aware,0.7510785114198277,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,traditional_ppo,3,core_learning_training_aware,0.4632379656467819,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,traditional_ppo,3,core_learning_training_aware,0.5607095832696385,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,a2c_pointer,2,core_learning_training_aware,0.7096144837442047,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,a2c_pointer,2,core_learning_training_aware,0.7468211259273837,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,17,1.0,full,1,core_learning_training_aware,0.7121125109431343,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,1.0,full,1,core_learning_training_aware,0.7521106112668344,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,traditional_ppo,3,core_learning_training_aware,0.5044098775071061,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,traditional_ppo,3,core_learning_training_aware,0.6010391959384735,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,a2c_pointer,2,core_learning_training_aware,0.7104833160787667,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,a2c_pointer,2,core_learning_training_aware,0.7479937492685778,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,18,1.0,full,1,core_learning_training_aware,0.7128662040561539,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,1.0,full,1,core_learning_training_aware,0.7531427111138409,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,traditional_ppo,3,core_learning_training_aware,0.5492410885871469,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,traditional_ppo,3,core_learning_training_aware,0.6413688086073084,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,a2c_pointer,2,core_learning_training_aware,0.7113532121875933,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,a2c_pointer,2,core_learning_training_aware,0.7491663726097718,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,19,1.0,full,1,core_learning_training_aware,0.7578989446135764,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,1.0,full,1,core_learning_training_aware,0.7958696336728909,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,traditional_ppo,3,core_learning_training_aware,0.4831324786507933,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,traditional_ppo,3,core_learning_training_aware,0.5938976717550168,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,a2c_pointer,2,core_learning_training_aware,0.7535829174327034,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,a2c_pointer,2,core_learning_training_aware,0.7892511119424,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,20,1.0,full,1,core_learning_training_aware,0.7587010976527968,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,1.0,full,1,core_learning_training_aware,0.7969017335198978,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,traditional_ppo,3,core_learning_training_aware,0.5260725856864883,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,traditional_ppo,3,core_learning_training_aware,0.6342272844238519,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,a2c_pointer,2,core_learning_training_aware,0.7545055835006004,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,a2c_pointer,2,core_learning_training_aware,0.7904237352835943,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,21,1.0,full,1,core_learning_training_aware,0.7330136647337464,0.2,0.1,0.15,0.15,0.1,0.1,0.2
