aggregation,grid_id,is_first,model,operational_floor,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,8,0.0,a2c_pointer,0.0,2,74.70092136292865,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,9,1.0,full,0.0,1,71.26718506878814,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,1.0,full,0.0,1,75.28908319876648,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,traditional_ppo,0.0,3,54.975191042072815,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,traditional_ppo,0.0,3,64.22406305896301,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,a2c_pointer,0.0,2,71.05895059503136,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,a2c_pointer,0.0,2,74.81818369704806,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,10,1.0,full,0.0,1,73.80143457550568,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,1.0,full,0.0,1,77.83349271479992,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,traditional_ppo,0.0,3,47.45389317506093,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,traditional_ppo,0.0,3,58.02775657710401,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,a2c_pointer,0.0,2,73.49817097215764,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,a2c_pointer,0.0,2,77.27875571480648,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,11,1.0,full,0.0,1,71.37819679691131,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,1.0,full,0.0,1,75.4319081154254,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,traditional_ppo,0.0,3,46.41894346556981,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,traditional_ppo,0.0,3,56.26922087754467,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,a2c_pointer,0.0,2,71.20147439881679,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,a2c_pointer,0.0,2,74.99887514028322,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,12,1.0,full,0.0,1,71.45374280195807,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,1.0,full,0.0,1,75.53511810012608,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,traditional_ppo,0.0,3,50.54459116878734,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,traditional_ppo,0.0,3,60.30218214442817,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,a2c_pointer,0.0,2,71.28865151349429,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,a2c_pointer,0.0,2,75.11613747440263,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,13,1.0,full,0.0,1,76.0479775682785,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,1.0,full,0.0,1,79.91102034073175,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,traditional_ppo,0.0,3,48.412481005436305,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,traditional_ppo,0.0,3,59.58802972608252,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,a2c_pointer,0.0,2,75.6131900237704,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,a2c_pointer,0.0,2,79.24187374178487,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,14,1.0,full,0.0,1,73.55097553452248,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,1.0,full,0.0,1,77.50943574135727,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,traditional_ppo,0.0,3,47.35662489332595,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,traditional_ppo,0.0,3,57.829494026523186,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,a2c_pointer,0.0,2,73.2504025947778,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,a2c_pointer,0.0,2,76.96199316726162,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,15,1.0,full,0.0,1,73.62882118793307,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,1.0,full,0.0,1,77.61264572605793,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,traditional_ppo,0.0,3,51.56561234837651,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,traditional_ppo,0.0,3,61.86245529340668,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,a2c_pointer,0.0,2,73.34008836043215,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,a2c_pointer,0.0,2,77.07925550138103,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,16,1.0,full,0.0,1,71.13596146883548,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,1.0,full,0.0,1,75.10785114198278,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,traditional_ppo,0.0,3,46.32379656467819,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,traditional_ppo,0.0,3,56.07095832696385,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,a2c_pointer,0.0,2,70.96144837442047,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,a2c_pointer,0.0,2,74.68211259273836,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,17,1.0,full,0.0,1,71.21125109431344,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,1.0,full,0.0,1,75.21106112668345,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,traditional_ppo,0.0,3,50.44098775071061,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,traditional_ppo,0.0,3,60.10391959384735,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,a2c_pointer,0.0,2,71.04833160787666,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,a2c_pointer,0.0,2,74.79937492685778,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,18,1.0,full,0.0,1,71.28662040561538,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,1.0,full,0.0,1,75.31427111138409,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,traditional_ppo,0.0,3,54.924108858714696,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,traditional_ppo,0.0,3,64.13688086073084,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,a2c_pointer,0.0,2,71.13532121875933,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,a2c_pointer,0.0,2,74.91663726097718,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,19,1.0,full,0.0,1,75.78989446135765,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,1.0,full,0.0,1,79.58696336728909,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,traditional_ppo,0.0,3,48.313247865079326,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,traditional_ppo,0.0,3,59.38976717550168,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,a2c_pointer,0.0,2,75.35829174327034,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,a2c_pointer,0.0,2,78.92511119424,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,20,1.0,full,0.0,1,75.87010976527968,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,1.0,full,0.0,1,79.69017335198978,0.2,0.1,0.15,0.15,0.05,0.2,0.15
