dimension,learning_curve_auc,map_consistency,mean_retention,model,perturbed_safe_rate,seed_consistency,tail_temporal_sd,threshold_efficiency,unit_id,unit_type,value,worst_retention
D4,,0.9028921369246273,0.9617913832199546,a2c_pointer,0.9111111111111111,,,,cn_guizhou_karst,real_map,0.9040341116516465,0.822687074829932
D4,,0.9028921369246273,0.97765731292517,a2c_pointer,0.9666666666666667,,,,cn_hengduan,real_map,0.936509451787701,0.8727465986394558
D4,,0.9028921369246273,0.8955413832199546,a2c_pointer,0.8111111111111112,,,,cn_qinling,real_map,0.8404779892026669,0.7658333333333334
D4,,0.9028921369246273,0.9243707482993196,a2c_pointer,0.9111111111111111,,,,cn_taihang,real_map,0.8692597352344128,0.7566666666666666
D4,,0.9028921369246273,1.0,a2c_pointer,1.0,,,,global_alps,real_map,0.9902892136924627,1.0
D4,,0.9028921369246273,0.9183049886621314,a2c_pointer,0.888888888888889,,,,global_colorado_rockies,real_map,0.8698889869350931,0.7816666666666666
D4,,0.9028921369246273,0.9482638888888889,a2c_pointer,0.8888888888888888,,,,global_peruvian_andes,real_map,0.9092475470257962,0.8729166666666667
D4,,0.9028921369246273,0.9402777777777779,a2c_pointer,0.8888888888888888,,,,global_southern_alps_nz,real_map,0.8960531025813517,0.8395833333333333
D4,,0.9110056628221902,0.9579024943310657,full,0.9111111111111111,,,,cn_guizhou_karst,real_map,0.9027899086858472,0.8210204081632653
D4,,0.9110056628221902,0.9981944444444443,full,1.0,,,,cn_hengduan,real_map,0.9887533440599968,0.9945833333333334
D4,,0.9110056628221902,0.9395479024943311,full,0.888888888888889,,,,cn_qinling,real_map,0.8876975050577293,0.8099999999999999
D4,,0.9110056628221902,0.9309467120181405,full,0.9111111111111111,,,,cn_taihang,real_map,0.8747014733116977,0.7633333333333333
D4,,0.9110056628221902,0.9995464852607711,full,1.0,,,,global_alps,real_map,0.9901028338559154,0.9972789115646259
D4,,0.9110056628221902,0.9192630385487529,full,0.8777777777777778,,,,global_colorado_rockies,real_map,0.8748613372572759,0.8016666666666667
D4,,0.9110056628221902,0.9489654195011338,full,0.888888888888889,,,,global_peruvian_andes,real_map,0.9109645118604505,0.875
D4,,0.9110056628221902,0.9572916666666668,full,0.9222222222222222,,,,global_southern_alps_nz,real_map,0.9090866773933303,0.8354166666666667
D6,0.96709375,,,full,,0.9957664297946107,0.036073111557385254,0.9425,42,paired_training_seed,0.9830306132538122,
D7,0.96709375,,,full,,0.9957664297946107,0.036073111557385254,0.9425,42,paired_training_seed,0.9597156249999999,
D6,0.9783385416666667,,,full,,0.9957664297946107,0.028718284351693033,0.9487,43,paired_training_seed,0.9859725441360891,
D7,0.9783385416666667,,,full,,0.9957664297946107,0.028718284351693033,0.9487,43,paired_training_seed,0.9694469791666667,
D6,0.9740677083333333,,,full,,0.9957664297946107,0.021652325916089243,0.9454,44,paired_training_seed,0.9887989275103307,
D7,0.9740677083333333,,,full,,0.9957664297946107,0.021652325916089243,0.9454,44,paired_training_seed,0.9654673958333333,
D6,0.9674895833333333,,,full,,0.9957664297946107,0.030373810803970624,0.94274,45,paired_training_seed,0.9853103335551782,
D7,0.9674895833333333,,,full,,0.9957664297946107,0.030373810803970624,0.94274,45,paired_training_seed,0.9600647083333333,
D6,0.9783385416666667,,,full,,0.9957664297946107,0.02601651032876001,0.95808,46,paired_training_seed,0.9870532537452624,
D7,0.9783385416666667,,,full,,0.9957664297946107,0.02601651032876001,0.95808,46,paired_training_seed,0.9722609791666667,
D6,0.95925,,,a2c_pointer,,0.977118230065275,0.04747689324669013,0.9143,42,paired_training_seed,0.9672801807404889,
D7,0.95925,,,a2c_pointer,,0.977118230065275,0.04747689324669013,0.9143,42,paired_training_seed,0.945765,
D6,0.966515625,,,a2c_pointer,,0.977118230065275,0.011213677950222574,0.9046,43,paired_training_seed,0.981785466859076,
D7,0.966515625,,,a2c_pointer,,0.977118230065275,0.011213677950222574,0.9046,43,paired_training_seed,0.9479409374999999,
D6,0.960109375,,,a2c_pointer,,0.977118230065275,0.021639890319571742,0.87596,44,paired_training_seed,0.9776149819113363,
D7,0.960109375,,,a2c_pointer,,0.977118230065275,0.021639890319571742,0.87596,44,paired_training_seed,0.9348645625,
D6,0.9601354166666667,,,a2c_pointer,,0.977118230065275,0.016721462596670008,0.92658,45,paired_training_seed,0.979582353000497,
D7,0.9601354166666667,,,a2c_pointer,,0.977118230065275,0.016721462596670008,0.92658,45,paired_training_seed,0.9500687916666666,
D6,0.9636614583333334,,,a2c_pointer,,0.977118230065275,0.10515318482788104,0.93336,46,paired_training_seed,0.9442096641080125,
D7,0.9636614583333334,,,a2c_pointer,,0.977118230065275,0.10515318482788104,0.93336,46,paired_training_seed,0.9545710208333333,
