model,planning_time_s,ecdf
a2c_pointer,0.90174514,0.372222222222
a2c_pointer,0.90379824,0.375
a2c_pointer,0.90833946,0.377777777778
a2c_pointer,0.90908026,0.380555555556
a2c_pointer,0.90999,0.383333333333
a2c_pointer,0.91759922,0.386111111111
a2c_pointer,0.92122764,0.388888888889
a2c_pointer,0.92296848,0.391666666667
a2c_pointer,0.92528424,0.394444444444
a2c_pointer,0.92643492,0.397222222222
a2c_pointer,0.9367044,0.4
a2c_pointer,0.94232408,0.402777777778
a2c_pointer,0.9476904,0.405555555556
a2c_pointer,0.9539565,0.408333333333
a2c_pointer,0.95737006,0.411111111111
a2c_pointer,0.96104294,0.413888888889
a2c_pointer,0.96317148,0.416666666667
a2c_pointer,0.97233178,0.419444444444
a2c_pointer,0.97407616,0.422222222222
a2c_pointer,0.97819808,0.425
a2c_pointer,0.98051904,0.427777777778
a2c_pointer,0.9818368,0.430555555556
a2c_pointer,0.98703576,0.433333333333
a2c_pointer,0.98788644,0.436111111111
a2c_pointer,0.99460998,0.438888888889
a2c_pointer,0.99462334,0.441666666667
a2c_pointer,0.99507812,0.444444444444
a2c_pointer,0.9996775,0.447222222222
a2c_pointer,1.00102018,0.45
a2c_pointer,1.00466606,0.452777777778
a2c_pointer,1.00978406,0.455555555556
a2c_pointer,1.01295602,0.458333333333
a2c_pointer,1.01572912,0.461111111111
a2c_pointer,1.02146044,0.463888888889
a2c_pointer,1.02453066,0.466666666667
a2c_pointer,1.02960186,0.469444444444
a2c_pointer,1.0354434,0.472222222222
a2c_pointer,1.03649666,0.475
a2c_pointer,1.03688708,0.477777777778
a2c_pointer,1.05161614,0.480555555556
a2c_pointer,1.0555215,0.483333333333
a2c_pointer,1.05615102,0.486111111111
a2c_pointer,1.05733138,0.488888888889
a2c_pointer,1.05772452,0.491666666667
a2c_pointer,1.0581246,0.494444444444
a2c_pointer,1.06070684,0.497222222222
a2c_pointer,1.06587966,0.5
a2c_pointer,1.06754956,0.502777777778
a2c_pointer,1.07874134,0.505555555556
a2c_pointer,1.08172114,0.508333333333
a2c_pointer,1.08237474,0.511111111111
a2c_pointer,1.08490964,0.513888888889
a2c_pointer,1.08824838,0.516666666667
a2c_pointer,1.10035368,0.519444444444
a2c_pointer,1.1036821,0.522222222222
a2c_pointer,1.10720576,0.525
a2c_pointer,1.11043672,0.527777777778
a2c_pointer,1.11293714,0.530555555556
a2c_pointer,1.1242689,0.533333333333
a2c_pointer,1.12821606,0.536111111111
a2c_pointer,1.1289774,0.538888888889
a2c_pointer,1.13654988,0.541666666667
a2c_pointer,1.13943966,0.544444444444
a2c_pointer,1.14935164,0.547222222222
a2c_pointer,1.15399386,0.55
a2c_pointer,1.15466186,0.552777777778
a2c_pointer,1.1646928,0.555555555556
a2c_pointer,1.16678644,0.558333333333
a2c_pointer,1.16698976,0.561111111111
a2c_pointer,1.17049282,0.563888888889
a2c_pointer,1.17415868,0.566666666667
a2c_pointer,1.1779119,0.569444444444
a2c_pointer,1.182314,0.572222222222
a2c_pointer,1.18387216,0.575
a2c_pointer,1.19324322,0.577777777778
a2c_pointer,1.19992202,0.580555555556
a2c_pointer,1.20472158,0.583333333333
a2c_pointer,1.20741622,0.586111111111
a2c_pointer,1.22866776,0.588888888889
a2c_pointer,1.22880422,0.591666666667
a2c_pointer,1.22943864,0.594444444444
a2c_pointer,1.2303451,0.597222222222
a2c_pointer,1.2324303,0.6
a2c_pointer,1.23253648,0.602777777778
a2c_pointer,1.23274986,0.605555555556
a2c_pointer,1.23551888,0.608333333333
a2c_pointer,1.23605212,0.611111111111
a2c_pointer,1.23622198,0.613888888889
a2c_pointer,1.24208356,0.616666666667
a2c_pointer,1.2432662,0.619444444444
a2c_pointer,1.24420058,0.622222222222
a2c_pointer,1.24587644,0.625
a2c_pointer,1.24722104,0.627777777778
a2c_pointer,1.24957726,0.630555555556
a2c_pointer,1.2558858,0.633333333333
a2c_pointer,1.26193636,0.636111111111
a2c_pointer,1.28100168,0.638888888889
a2c_pointer,1.2838244,0.641666666667
a2c_pointer,1.2871063,0.644444444444
a2c_pointer,1.28797444,0.647222222222
a2c_pointer,1.29620648,0.65
a2c_pointer,1.29889988,0.652777777778
a2c_pointer,1.30109538,0.655555555556
a2c_pointer,1.30130832,0.658333333333
a2c_pointer,1.30664406,0.661111111111
a2c_pointer,1.31194968,0.663888888889
a2c_pointer,1.3132412,0.666666666667
a2c_pointer,1.31681824,0.669444444444
a2c_pointer,1.3221267,0.672222222222
a2c_pointer,1.32644812,0.675
a2c_pointer,1.32707246,0.677777777778
a2c_pointer,1.32732928,0.680555555556
a2c_pointer,1.32765562,0.683333333333
a2c_pointer,1.34942968,0.686111111111
a2c_pointer,1.3554799,0.688888888889
a2c_pointer,1.35703996,0.691666666667
a2c_pointer,1.35790774,0.694444444444
a2c_pointer,1.3678055,0.697222222222
a2c_pointer,1.37033834,0.7
a2c_pointer,1.37357088,0.702777777778
a2c_pointer,1.37680512,0.705555555556
a2c_pointer,1.3805443,0.708333333333
a2c_pointer,1.38185906,0.711111111111
a2c_pointer,1.38397564,0.713888888889
a2c_pointer,1.38524106,0.716666666667
a2c_pointer,1.38623368,0.719444444444
a2c_pointer,1.39077438,0.722222222222
a2c_pointer,1.4046813,0.725
a2c_pointer,1.41577352,0.727777777778
a2c_pointer,1.41735456,0.730555555556
a2c_pointer,1.42283024,0.733333333333
a2c_pointer,1.43008138,0.736111111111
a2c_pointer,1.43420034,0.738888888889
a2c_pointer,1.43678942,0.741666666667
a2c_pointer,1.43939662,0.744444444444
a2c_pointer,1.43967046,0.747222222222
a2c_pointer,1.45181794,0.75
a2c_pointer,1.45378102,0.752777777778
a2c_pointer,1.47105402,0.755555555556
a2c_pointer,1.47212024,0.758333333333
a2c_pointer,1.48129414,0.761111111111
a2c_pointer,1.4827241,0.763888888889
a2c_pointer,1.4869371,0.766666666667
a2c_pointer,1.48892918,0.769444444444
a2c_pointer,1.50357794,0.772222222222
a2c_pointer,1.52492284,0.775
a2c_pointer,1.52805298,0.777777777778
a2c_pointer,1.5294832,0.780555555556
a2c_pointer,1.53780608,0.783333333333
a2c_pointer,1.53998472,0.786111111111
a2c_pointer,1.54009658,0.788888888889
a2c_pointer,1.54238052,0.791666666667
a2c_pointer,1.54483518,0.794444444444
a2c_pointer,1.54632896,0.797222222222
a2c_pointer,1.54884512,0.8
a2c_pointer,1.55083022,0.802777777778
a2c_pointer,1.55127976,0.805555555556
a2c_pointer,1.55538602,0.808333333333
a2c_pointer,1.57185574,0.811111111111
a2c_pointer,1.58772704,0.813888888889
a2c_pointer,1.59248058,0.816666666667
a2c_pointer,1.59259962,0.819444444444
a2c_pointer,1.61453822,0.822222222222
a2c_pointer,1.61597382,0.825
a2c_pointer,1.6274737,0.827777777778
a2c_pointer,1.62793144,0.830555555556
a2c_pointer,1.6284298,0.833333333333
a2c_pointer,1.6413609,0.836111111111
a2c_pointer,1.64311056,0.838888888889
a2c_pointer,1.64425464,0.841666666667
a2c_pointer,1.64812774,0.844444444444
a2c_pointer,1.65442536,0.847222222222
a2c_pointer,1.66496122,0.85
a2c_pointer,1.69280384,0.852777777778
a2c_pointer,1.6971377,0.855555555556
a2c_pointer,1.70787288,0.858333333333
a2c_pointer,1.72954732,0.861111111111
a2c_pointer,1.7438707,0.863888888889
a2c_pointer,1.74669084,0.866666666667
a2c_pointer,1.75491286,0.869444444444
a2c_pointer,1.75497406,0.872222222222
a2c_pointer,1.7793179,0.875
a2c_pointer,1.7981988,0.877777777778
a2c_pointer,1.80043278,0.880555555556
a2c_pointer,1.81790398,0.883333333333
a2c_pointer,1.82043244,0.886111111111
a2c_pointer,1.82365084,0.888888888889
a2c_pointer,1.83030126,0.891666666667
a2c_pointer,1.83400632,0.894444444444
a2c_pointer,1.83416128,0.897222222222
a2c_pointer,1.83614498,0.9
a2c_pointer,1.85151508,0.902777777778
a2c_pointer,1.86534042,0.905555555556
a2c_pointer,1.87106306,0.908333333333
a2c_pointer,1.8719877,0.911111111111
a2c_pointer,1.87917274,0.913888888889
a2c_pointer,1.8854021,0.916666666667
a2c_pointer,1.92214172,0.919444444444
a2c_pointer,1.926793,0.922222222222
a2c_pointer,1.9279076,0.925
a2c_pointer,1.94885068,0.927777777778
a2c_pointer,1.95208676,0.930555555556
a2c_pointer,1.96106208,0.933333333333
a2c_pointer,1.97157222,0.936111111111
a2c_pointer,1.9723489,0.938888888889
a2c_pointer,1.98258652,0.941666666667
a2c_pointer,1.98745368,0.944444444444
a2c_pointer,2.01292734,0.947222222222
a2c_pointer,2.01399322,0.95
a2c_pointer,2.0230765,0.952777777778
a2c_pointer,2.03874366,0.955555555556
a2c_pointer,2.04234752,0.958333333333
a2c_pointer,2.04329622,0.961111111111
a2c_pointer,2.0585566,0.963888888889
a2c_pointer,2.08428978,0.966666666667
a2c_pointer,2.09224104,0.969444444444
a2c_pointer,2.12106778,0.972222222222
a2c_pointer,2.13921574,0.975
a2c_pointer,2.19084848,0.977777777778
a2c_pointer,2.19663472,0.980555555556
a2c_pointer,2.24447318,0.983333333333
a2c_pointer,2.43984216,0.986111111111
a2c_pointer,2.49044828,0.988888888889
a2c_pointer,2.4918038,0.991666666667
a2c_pointer,2.55034082,0.994444444444
a2c_pointer,2.73713884,0.997222222222
a2c_pointer,2.88299284,1
aco,14.7713837,0.00277777777778
aco,15.71299096,0.00555555555556
aco,16.327357,0.00833333333333
aco,17.08008024,0.0111111111111
aco,17.40790544,0.0138888888889
aco,17.65081358,0.0166666666667
