domain,map_id,model,weighted_coverage,task_count,repetitions,domain_label,model_label
synthetic,synthetic_test__map_000,aco,0.536207482993,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_001,aco,0.523236961451,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_002,aco,0.57712585034,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_003,aco,0.53316893424,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_004,aco,0.550408163265,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_005,aco,0.561332199546,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_006,aco,0.568018707483,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_007,aco,0.565677437642,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_008,aco,0.523985260771,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_009,aco,0.575941043084,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_010,aco,0.55285430839,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_011,aco,0.556369047619,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_012,aco,0.520263605442,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_013,aco,0.539532312925,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_014,aco,0.5372930839,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_015,aco,0.527307256236,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_016,aco,0.552131519274,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_017,aco,0.580082199546,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_018,aco,0.555677437642,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_019,aco,0.564594671202,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_020,aco,0.562020975057,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_021,aco,0.543988095238,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_022,aco,0.577610544218,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_023,aco,0.575289115646,9,45,未见合成地图,ACO
synthetic,synthetic_test__map_000,full,0.503239795918,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_001,full,0.43897675737,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_002,full,0.519546485261,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_003,full,0.461451247166,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_004,full,0.508551587302,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_005,full,0.50933106576,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_006,full,0.506969954649,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_007,full,0.452763605442,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_008,full,0.482619047619,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_009,full,0.468642290249,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_010,full,0.48320861678,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_011,full,0.461292517007,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_012,full,0.483832199546,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_013,full,0.491641156463,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_014,full,0.464277210884,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_015,full,0.477012471655,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_016,full,0.498869047619,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_017,full,0.479484126984,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_018,full,0.496989795918,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_019,full,0.467465986395,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_020,full,0.521201814059,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_021,full,0.480901360544,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_022,full,0.472998866213,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_023,full,0.527885487528,9,45,未见合成地图,PPO+Pointer
synthetic,synthetic_test__map_000,milp,0.558120748299,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_001,milp,0.546315192744,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_002,milp,0.598993764172,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_003,milp,0.54964569161,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_004,milp,0.572236394558,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_005,milp,0.584041950113,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_006,milp,0.590986394558,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_007,milp,0.570620748299,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_008,milp,0.54858276644,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_009,milp,0.597094671202,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_010,milp,0.580470521542,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_011,milp,0.563024376417,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_012,milp,0.539554988662,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_013,milp,0.563676303855,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_014,milp,0.548993764172,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_015,milp,0.538350340136,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_016,milp,0.579875283447,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_017,milp,0.588803854875,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_018,milp,0.576119614512,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_019,milp,0.572973356009,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_020,milp,0.59339569161,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_021,milp,0.56130952381,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_022,milp,0.600892857143,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_023,milp,0.581547619048,9,9,未见合成地图,MILP
synthetic,synthetic_test__map_000,priority_resource_greedy,0.492063492063,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_001,priority_resource_greedy,0.380980725624,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_002,priority_resource_greedy,0.461139455782,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_003,priority_resource_greedy,0.434212018141,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_004,priority_resource_greedy,0.474801587302,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_005,priority_resource_greedy,0.444855442177,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_006,priority_resource_greedy,0.412159863946,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_007,priority_resource_greedy,0.463605442177,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_008,priority_resource_greedy,0.466284013605,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_009,priority_resource_greedy,0.476133786848,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_010,priority_resource_greedy,0.436139455782,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_011,priority_resource_greedy,0.484155328798,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_012,priority_resource_greedy,0.465816326531,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_013,priority_resource_greedy,0.453132086168,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_014,priority_resource_greedy,0.441184807256,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_015,priority_resource_greedy,0.289370748299,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_016,priority_resource_greedy,0.465263605442,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_017,priority_resource_greedy,0.452154195011,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_018,priority_resource_greedy,0.458219954649,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_019,priority_resource_greedy,0.414710884354,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_020,priority_resource_greedy,0.486139455782,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_021,priority_resource_greedy,0.494005102041,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_022,priority_resource_greedy,0.46697845805,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_023,priority_resource_greedy,0.508361678005,9,9,未见合成地图,优先级-资源贪心
synthetic,synthetic_test__map_000,traditional_ppo,0.29487244898,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_001,traditional_ppo,0.268197278912,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_002,traditional_ppo,0.269696712018,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_003,traditional_ppo,0.235572562358,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_004,traditional_ppo,0.286632653061,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_005,traditional_ppo,0.272959183673,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_006,traditional_ppo,0.243500566893,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_007,traditional_ppo,0.27356292517,9,45,未见合成地图,传统PPO
