model,metric,score,q25,q75,seed_count,higher_is_better
full,D6训练稳定性,0.99780808369761,0.9975574296668863,0.9979841897911006,5,True
full,D7样本效率,0.4872316183222739,0.4844581021337064,0.4900517140840335,5,True
full,跨种子一致性,0.9983090514501396,0.9983090514501396,0.9983090514501396,5,True
full,尾段时间一致性,0.9970566320688152,0.9964299969920064,0.9974968973025422,5,True
full,50%预算AUC,0.4799719373117585,0.4752506208128845,0.4828859557378542,5,True
full,75%预算AUC,0.48494732729938617,0.4824833531060863,0.4877468198496915,5,True
a2c_pointer,D6训练稳定性,0.9971198170749926,0.9972064795355993,0.9974548028549464,5,True
a2c_pointer,D7样本效率,0.4781061076303148,0.4753346706439791,0.4801267487621984,5,True
a2c_pointer,跨种子一致性,0.9971477734931614,0.9971477734931614,0.9971477734931614,5,True
a2c_pointer,尾段时间一致性,0.9970778824477394,0.9972945385992561,0.9979153468976238,5,True
a2c_pointer,50%预算AUC,0.4595235890071203,0.454233909369316,0.4642393775047336,5,True
a2c_pointer,75%预算AUC,0.4716197144728918,0.4678021900392958,0.4747954920414108,5,True
traditional_ppo,D6训练稳定性,0.9943681901350084,0.9941940837892156,0.9948334484375903,5,True
traditional_ppo,D7样本效率,0.2676402171188932,0.2646755151181166,0.2691332314909395,5,True
traditional_ppo,跨种子一致性,0.9931249321733944,0.9931249321733944,0.9931249321733944,5,True
traditional_ppo,尾段时间一致性,0.9962330770774288,0.9957978112129474,0.9973962228338841,5,True
traditional_ppo,50%预算AUC,0.2653050522849648,0.2624903171162312,0.2658169608455364,5,True
traditional_ppo,75%预算AUC,0.26664735820438257,0.2640700476082175,0.2662224423559922,5,True
