environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
25977.0,3000.0,,full,,,seed,0.4926646352985638,45.0
78.0,16.0,,full,,,seed,0.407473544973545,46.0
1014.0,160.0,,full,,,seed,0.4569952286470142,46.0
1740.0,250.0,,full,,,seed,0.46833664021164,46.0
2258.0,314.0,,full,,,seed,0.4724300831443688,46.0
3547.0,474.0,,full,,,seed,0.4830345332577475,46.0
3742.0,500.0,,full,,,seed,0.4860886715797428,46.0
4893.0,628.0,,full,,,seed,0.4862516534391533,46.0
6306.0,788.0,,full,,,seed,0.4820011337868478,46.0
7667.0,948.0,,full,,,seed,0.4814212490551775,46.0
8068.0,1000.0,,full,,,seed,0.4849312641723355,46.0
8946.0,1096.0,,full,,,seed,0.4893979119425546,46.0
10437.0,1256.0,,full,,,seed,0.4931287792894935,46.0
11923.0,1416.0,,full,,,seed,0.4970001889644745,46.0
12717.0,1500.0,,full,,,seed,0.4929043839758123,46.0
13283.0,1564.0,,full,,,seed,0.4939035336356763,46.0
14737.0,1724.0,,full,,,seed,0.4924721277399848,46.0
16145.0,1884.0,,full,,,seed,0.4910017479213907,46.0
17145.0,2000.0,,full,,,seed,0.4985780423280422,46.0
17459.0,2032.0,,full,,,seed,0.4996232520786091,46.0
18947.0,2192.0,,full,,,seed,0.4997933201058199,46.0
20509.0,2352.0,,full,,,seed,0.499747260015117,46.0
21800.0,2500.0,,full,,,seed,0.4995582955404383,46.0
23270.0,2660.0,,full,,,seed,0.4942082388510958,46.0
24729.0,2820.0,,full,,,seed,0.4953774565381708,46.0
26144.0,2980.0,,full,,,seed,0.4951837679516249,46.0
26342.0,3000.0,,full,,,seed,0.5026088907785334,46.0
,16.0,0.3706939720332575,full,0.3687063019652306,0.407473544973545,summary,,
,160.0,0.4675075585789869,full,0.4627161281179135,0.4715726568405139,summary,,
,250.0,0.4833416005291005,full,0.4696936413454269,0.4900770030234316,summary,,
,314.0,0.4822845804988663,full,0.4753802910052908,0.4899270124716554,summary,,
,474.0,0.4854332010582011,full,0.4837679516250944,0.4904006046863191,summary,,
,500.0,0.4860886715797428,full,0.4847304894179893,0.4926032218442933,summary,,
,628.0,0.4877326625094479,full,0.4862516534391533,0.4928323412698411,summary,,
,788.0,0.4822704081632652,full,0.4820011337868478,0.4954152494331063,summary,,
